"","species","id","Purposes","Degree.and.type.of.domestication","Extent.in.wild.vs..captivity"
"149","Urocyon cinereoargenteus",685113,"pest control, pelt, pets","Held/tame in captivity",""
"150","Urocyon littoralis",682591,"pest control, pelt, pets","Held/tame in captivity",""
"151","Vicugna pacos",906301,"fiber, meat, show, pets, guarding, milk, lawn mowing, weed control, manure","Considerable physical changes","Fairly common in the wild and in captivity"
"152","Vicugna vicugna",986959,"fiber, pets","Held/tame in captivity",""
"153","Vulpes corsac",523960,"fur, pest control, pets","Held/tame in captivity",""
"154","Vulpes lagopus",775766,"fur, pest control, pets","Held/tame in captivity",""
"155","Vulpes macrotis",297453,"fur, pest control, pets","Held/tame in captivity",""
"156","Vulpes pallida",3612512,"fur, pest control, pets","Held/tame in captivity",""
"157","Vulpes velox",297455,"fur, pest control, pets","Held/tame in captivity",""
"158","Vulpes vulpes",821964,"fur, pest control, pets","Held/tame in captivity",""
"159","Vulpes zerda",315465,"fur, pest control, pets","Held/tame in captivity",""
