"","species","id"
"75","Aethalops alecto",37731
"76","Aethomys bocagei",3608715
"77","Aethomys chrysophilus",911457
"78","Aethomys hindei",3608711
"79","Aethomys ineptus",411031
"80","Aethomys kaiseri",649436
"81","Aethomys nyikae",3608710
"82","Aethomys silindensis",3608709
"83","Aethomys stannarius",3608717
"84","Aethomys thomasi",3608716
"85","Aetiocetus cotylalveus",3612436
"86","Aetiocetus polydentatus",3612408
"87","Aetiocetus weltoni",3612433
"88","Afrochoerus nicoli",7655719
"89","Aglaocetus patulus",3616020
"90","Ailurops furvus",7657218
"91","Ailurops melanotis",3606934
"92","Ailurops ursinus",193425
"93","Ailurus ochraceus",7655926
"94","Akodon aerosus",421013
"95","Akodon affinis",170298
"96","Akodon albiventer",299290
"97","Akodon arviculoides",7654625
"98","Akodon baliolus",224511
"99","Akodon boliviensis",292086
"100","Akodon budini",837330
"101","Akodon caenosus",694678
"102","Akodon cursor",754322
"103","Akodon dayi",837345
"104","Akodon dolores",817138
"105","Akodon fumeus",837332
"106","Akodon glaucinus",468307
"107","Akodon josemariarguedasi",6144778
"108","Akodon juninensis",292084
"109","Akodon kofordi",292090
"110","Akodon kotosh",7067232
"111","Akodon latebricola",694987
"112","Akodon lindberghi",837916
"113","Akodon mimus",1068786
"114","Akodon molinae",224514
"115","Akodon montensis",837919
"116","Akodon mystax",837918
"117","Akodon neocenus",3608361
"118","Akodon orophilus",754316
"119","Akodon paranaensis",896699
"120","Akodon pervalens",3608354
"121","Akodon philipmyersi",373077
"122","Akodon polopi",68879
"123","Akodon reigi",896702
"124","Akodon sanctipaulensis",3608368
"125","Akodon serrensis",837921
"126","Akodon siberiae",360765
"127","Akodon simulator",468305
"128","Akodon surdus",3608367
"129","Akodon sylvanus",536358
"130","Akodon tartareus",468309
"131","Akodon toba",360763
"132","Akodon torques",292096
"133","Akodon urichi",360768
"134","Akodon varius",224515
"135","Akodon viridescens",398446
"136","Alcelaphus bakeri",7655481
"137","Alcelaphus caama",989782
"138","Alcelaphus howardi",7655482
"139","Alcelaphus kattwinkeli",6146180
"140","Alcelaphus lichtensteini",363033
"141","Alcelaphus tora",7655483
"142","Alces americanus",196762
"143","Alces bedfordiae",7655667
"144","Aletocyon multicuspus",3612594
"145","Alexandromys mongolicus",839865
"146","Alexandromys mujanensis",7067199
"147","Alionycteris paucidentata",491371
"148","Allactaga balikunica",3608063
"149","Allactaga bullata",910642
"150","Allactaga euphratica",739520
"151","Allactaga firouzi",739517
"152","Allactaga hotsoni",1043408
"153","Allactaga major",852287
"154","Allactaga severtzovi",3608064
"155","Allactaga sibirica",814883
"156","Allactaga toussi",164964
"157","Allactaga vinogradovi",3608062
"158","Allactaga williamsi",164961
"159","Allactodipus bobrinskii",85039
"160","Allenopithecus nigroviridis",721471
"161","Allocebus trichotis",516007
"162","Allochrocebus lhoesti",954691
"163","Allochrocebus solatus",807150
"164","Allocricetulus curtatus",270176
"165","Allocricetulus eversmanni",753012
"166","Allocricetulus jezreelicus",7654603
"167","Alopex praeglacialis",7655973
"168","Alouatta arctoidea",3607552
"169","Alouatta caraya",791697
"170","Alouatta discolor",3607550
"171","Alouatta juara",3607545
"172","Alouatta pigra",558066
"173","Alouatta sara",814670
"174","Alouatta stramineus",659847
"175","Alouatta ululata",3607551
"176","Alouatta villosa",7655100
"177","Alticola albicaudus",3608470
"178","Alticola argentatus",118432
"179","Alticola barakshin",118430
"180","Alticola lemminus",3608465
"181","Alticola montosa",3608469
"182","Alticola olchonensis",3608471
"183","Alticola roylei",3608467
"184","Alticola stoliczkanus",7067202
"185","Alticola stracheyi",42889
"186","Alticola tuvinicus",3608466
"187","Amblonyx concolor",6145459
"188","Amblysomus iris",768487
"189","Amblysomus marleyi",117566
"190","Amblysomus robustus",178886
"191","Amblysomus septentrionalis",178889
"192","Ametrida centurio",895014
"193","Ammodillus imbellis",3610375
"194","Ammodorcas clarkei",3611830
"195","Ammospermophilus harrisii",580350
"196","Ammospermophilus insularis",632597
"197","Ammospermophilus interpres",580348
"198","Ammospermophilus leucurus",580339
"199","Ammospermophilus nelsoni",3609051
"200","Ammotragus europaeus",7655547
"201","Ammotragus lervia",768699
"202","Amorphochilus schnablii",3614022
"203","Amphechinus rusingensis",7656502
"204","Amphinectomys savamis",139343
"205","Anathana ellioti",603405
"206","Anathana pallida",7655202
"207","Anathana wroughtoni",7655203
"208","Andalgalomys olrogi",554235
"209","Andalgalomys roigi",972224
"210","Andinomys edax",84877
"211","Anisomys imitator",976853
"212","Anomalurus beecrofti",254702
"213","Anomalurus derbianus",3609277
"214","Anomalurus pelii",3609276
"215","Anomalurus pusillus",3609275
"216","Anonymomys mindorensis",3611060
"217","Anotomys leander",3610119
"218","Anoura aequatoris",6146450
"219","Anoura cadenai",6146451
"220","Anoura carishina",6146452
"221","Anoura caudifer",351792
"222","Anoura cultrata",485774
"223","Anoura fistulata",3613591
"224","Anoura geoffroyi",688667
"225","Anoura latidens",130223
"226","Anoura luismanueli",3613592
"227","Anoura peruana",6146453
"228","Anourosorex assamensis",3614454
"229","Anourosorex schmidi",3614455
"230","Anourosorex squamipes",557343
"231","Anourosorex yamashinai",843247
"232","Antechinomys laniger",1090598
"233","Antechinus adustus",3607143
"234","Antechinus agilis",664295
"235","Antechinus argentus",6147850
"236","Antechinus arktos",6147851
"237","Antechinus bellus",760615
"238","Antechinus fuliginosus",7657086
"239","Antechinus godmani",760617
"240","Antechinus hageni",7657087
"241","Antechinus leo",837436
"242","Antechinus minutissimus",7657088
"243","Antechinus mysticus",6147852
"244","Antechinus naso",470342
"245","Antechinus stuartii",74733
"246","Antechinus subtropicus",3607144
"247","Antechinus swainsonii",74726
"248","Antechinus vandycki",7068028
"249","Anthops ornatus",879094
"250","Antidorcas angolensis",7655489
"251","Antidorcas boulei",7655490
"252","Antidorcas gaudryi",7655491
"253","Antidorcas marsupialis",363040
"254","Antillomys rayi",5846385
"255","Antilocapra pacifica",7655477
"256","Antilope burchelli",7655492
"257","Antilope caerula",7655493
"258","Antilope cervicapra",363043
"259","Antilope claudi",7655494
"260","Antilope depressicornis",7655495
"261","Antilope dichotoma",6146181
"262","Antilope doria",6146182
"263","Antilope equina",7655496
"264","Antilope euryceros",7655497
"265","Antilope lunata",7655498
"266","Antilope mhorr",7655499
"267","Antilope mytilopes",7655500
"268","Antilope saltiana",7655501
"269","Antilope subulata",7655502
"270","Antilope triangularis",7655503
"271","Antilope villosa",7655504
"272","Antilope zebra",6146184
"273","Antilope zebrata",6146185
"274","Antrozous dubiaquercus",127235
"275","Antrozous pallidus",913941
"276","Aonyx capensis",4709
"277","Aonyx cinereus",956747
"278","Aotus boliviensis",7655098
"279","Aotus brumbacki",338636
"280","Aotus griseimembra",583084
"281","Aotus jorgehernandezi",3607598
"282","Aotus lemurinus",897634
"283","Aotus miconax",3607601
"284","Aotus nancymaae",913299
"285","Aotus nigriceps",685852
"286","Aotus rufipes",7655099
"287","Aotus trivirgatus",791711
"288","Aotus vociferans",685855
"289","Aotus zonalis",298340
"290","Apodemus alpicola",1085351
"291","Apodemus argenteus",663824
"292","Apodemus atavus",7654723
"293","Apodemus caesareanus",7654724
"294","Apodemus chejuensis",226436
"295","Apodemus chevrieri",588266
"296","Apodemus ciscaucasicus",57422
"297","Apodemus epimelas",397731
"298","Apodemus flavicollis",1088760
"299","Apodemus fulvipectus",754771
"300","Apodemus gurkha",644322
"301","Apodemus hermonensis",806809
"302","Apodemus hyrcanicus",3608834
"303","Apodemus iconicus",1729
"304","Apodemus ilex",665361
"305","Apodemus latronum",1046532
"306","Apodemus levantinus",7654726
"307","Apodemus mystacinus",1085349
"308","Apodemus nigrus",7654727
"309","Apodemus pallipes",429364
"310","Apodemus ponticus",883091
"311","Apodemus rusiges",3608833
"312","Apodemus semotus",644320
"313","Apodemus speciosus",644310
"314","Apodemus sylvaticus",794922
"315","Apodemus uralensis",1087647
"316","Apodemus wardi",1046535
"317","Apodemus witherbyi",926226
"318","Apomys abrae",625473
"319","Apomys aurorae",625476
"320","Apomys banahao",625477
"321","Apomys brownorum",625478
"322","Apomys camiguinensis",482741
"323","Apomys datae",359217
"324","Apomys gracilirostris",359216
"325","Apomys hylocoetes",359227
"326","Apomys insignis",359225
"327","Apomys iridensis",5852640
"328","Apomys littoralis",3608633
"329","Apomys lubangensis",5852641
"330","Apomys magnus",625467
"331","Apomys microdon",359223
"332","Apomys minganensis",103870
"333","Apomys musculus",359221
"334","Apomys sacobianus",3608634
"335","Apomys sierrae",103874
"336","Apomys zambalensis",103873
"337","Aproteles bulmerae",635014
"338","Arabitragus jayakari",1068706
"339","Arborimus albipes",663531
"340","Arborimus longicaudus",663525
"341","Arborimus pomo",663528
"342","Archaebalaenoptera castriarquati",3612259
"343","Archaeocyon falkenbachi",4117988
"344","Archaeolemur edwardsi",370493
"345","Archaeolemur majori",370492
"346","Archaeotherium mortoni",4944931
"347","Archboldomys luzonensis",1047897
"348","Archboldomys maximus",566959
"349","Arctictis gairdneri",7656196
"350","Arctictis whitei",7656197
"351","Arctocebus aureus",673376
"352","Arctocebus calabarensis",323051
"353","Arctocephalus australis",796568
"354","Arctocephalus forsteri",180381
"355","Arctocephalus galapagoensis",590445
"356","Arctocephalus gazella",336157
"357","Arctocephalus philippii",796545
"358","Arctocephalus townsendi",796557
"359","Arctocephalus tropicalis",336151
"360","Arctogalidia millsi",7656198
"361","Arctogalidia trivirgata",768505
"362","Arctonyx collaris",1086986
"363","Ardops nichollsi",894926
"364","Arielulus aureocollaris",180056
"365","Arielulus circumdatus",1072700
"366","Arielulus cuprosus",505791
"367","Arielulus societatis",3613872
"368","Arielulus torquatus",3613896
"369","Ariteus flavescens",842058
"370","Artibeus amplus",900091
"371","Artibeus anderseni",805983
"372","Artibeus anthonyi",6520226
"373","Artibeus aztecus",1039987
"374","Artibeus cinereus",513419
"375","Artibeus concolor",513416
"376","Artibeus fimbriatus",805974
"377","Artibeus fraterculus",805976
"378","Artibeus grandis",7656380
"379","Artibeus hartii",927292
"380","Artibeus hirsutus",805978
"381","Artibeus inopinatus",431860
"382","Artibeus intermedius",805981
"383","Artibeus lituratus",857633
"384","Artibeus macleayii",7656381
"385","Artibeus obscurus",513451
"386","Artibeus phaeotis",513447
"387","Artibeus schwartzi",62481
"388","Artibeus toltecus",362821
"389","Artiocetus clavis",4942565
"390","Arvicanthis abyssinicus",686841
"391","Arvicanthis ansorgei",743637
"392","Arvicanthis blicki",3608718
"393","Arvicanthis dembeensis",686843
"394","Arvicanthis ectos",7654729
"395","Arvicanthis nairobae",481620
"396","Arvicanthis neumanni",911456
"397","Arvicanthis niloticus",686838
"398","Arvicanthis nubilans",7654730
"399","Arvicanthis rufinus",3608719
"400","Arvicanthis rumruti",7654731
"401","Arvicanthis somalicus",686840
"402","Arvicanthis testicularis",7654732
"403","Arvicola amphibius",684847
"404","Arvicola cantiana",7654584
"405","Arvicola mosbachensis",7654585
"406","Arvicola sapidus",1035813
"407","Arvicola scherman",496185
"408","Asellia arabica",6146411
"409","Asellia italosomalica",6146412
"410","Asellia patrizii",3614051
"411","Asellia tridens",992342
"412","Aselliscus dongbacana",6146413
"413","Aselliscus stoliczkanus",791905
"414","Aselliscus tricuspidatus",742153
"415","Atalapha pallescens",7656405
"416","Atelerix albiventris",376305
"417","Atelerix algirus",805535
"418","Atelerix frontalis",3614702
"419","Atelerix kilimanus",7656504
"420","Atelerix pruneri",7656505
"421","Atelerix sclateri",3614703
"422","Atelerix spinifex",7656506
"423","Ateles marginatus",3607557
"424","Ateles paniscus",217258
"425","Atelocynus microtis",621172
"426","Atherurus africanus",276723
"427","Atherurus macrourus",173065
"428","Atilax paludinosus",750141
"429","Atlantoxerus getulus",327763
"430","Auliscomys boliviensis",150621
"431","Auliscomys micropus",784312
"432","Auliscomys pictus",360772
"433","Auliscomys sublimis",739479
"434","Australopithecus ramidus",3607716
"435","Avahi betsileo",3607507
"436","Avahi cleesei",654909
"437","Avahi laniger",516002
"438","Avahi meridionalis",3607509
"439","Avahi mooreorum",6145313
"440","Avahi occidentalis",563621
"441","Avahi peyrierasi",3607508
"442","Avahi ramanantsoavani",6145314
"443","Avahi unicolor",132960
"444","Axis axis",906317
"445","Axis calamianensis",3611944
"446","Axis kuhlii",118577
"447","Babyrousa babyrussa",773454
"448","Babyrousa bolabatuensis",3611401
"449","Babyrousa celebensis",3611403
"450","Babyrousa togeanensis",3611402
"451","Baiomys musculus",275823
"452","Baiomys taylori",39171
"453","Baiyankamys habbema",3608609
"454","Baiyankamys shawmayeri",3608614
"455","Balaena montalionis",3612191
"456","Balaena mysticetus",397231
"457","Balaena ricei",3612189
"458","Balaenella brachyrhynus",3612203
"459","Balaenoptera bairdii",7655839
"460","Balaenoptera bertae",6145898
"461","Balaenoptera bertai",7655840
"462","Balaenoptera bonaerensis",44568
"463","Balaenoptera borealis",800329
"464","Balaenoptera brydei",959341
"465","Balaenoptera edeni",800331
"466","Balaenoptera musculus",226190
"467","Balaenoptera omurai",313151
"468","Balaenoptera physalus",226193
"469","Balaenoptera siberi",3612210
"470","Balaenula astensis",3612207
"471","Balantiopteryx infusca",432529
"472","Balantiopteryx io",432520
"473","Balantiopteryx plicata",75168
"474","Balionycteris maculata",37727
"475","Balionycteris maculator",7656276
"476","Bandicota bengalensis",106786
"477","Bandicota bengalis",7654734
"478","Bandicota indica",836346
"479","Bandicota savilei",836348
"480","Barbastella barbastellus",647747
"481","Barbastella beijingensis",911449
"482","Barbastella caspica",7067849
"483","Barbastella darjelingensis",709474
"484","Barbastella leucomelas",1011492
"485","Barbastella pacifica",7067850
"486","Bassaricyon alleni",794090
"487","Bassaricyon beddardi",1023225
"488","Bassariscus astutus",685103
"489","Bassariscus sumichrasti",794088
"490","Bathyergus janetta",118538
"491","Bathyergus suillus",118542
"492","Batomys dentatus",3608616
"493","Batomys granti",1050972
"494","Batomys hamiguitan",7067412
"495","Batomys russatus",3608615
"496","Batomys salomonseni",931919
"497","Batomys uragon",7067413
"498","Bdeogale jacksoni",3613281
"499","Bdeogale nigripes",670218
"500","Bdeogale tenuis",7656150
"501","Beamys hindei",766447
"502","Beamys major",3608526
"503","Beatragus antiquus",7655484
"504","Beatragus hunteri",363046
"505","Belomys pearsonii",43438
"506","Berardius arnuxii",1021375
"507","Berardius bairdii",1003906
"508","Berardius minimus",7655877
"509","Berylmys berdmorei",991571
"510","Berylmys bowersi",366063
"511","Berylmys mackenziei",3608704
"512","Berylmys manipulus",3608703
"513","Bettongia anhydra",5810212
"514","Bettongia gaimardi",83196
"515","Bettongia gouldii",7657223
"516","Bettongia lesueur",317165
"517","Bettongia tropica",483799
"518","Bibimys chacoensis",540521
"519","Bibimys labiosus",540517
"520","Bibimys torresi",3608230
"521","Bison antiquus",931799
"522","Bison priscus",920420
"523","Bison schoetensacki",7067652
"524","Biswamoyopterus biswasi",3609183
"525","Biswamoyopterus laoensis",6144982
"526","Blanfordimys afghanus",624829
"527","Blanfordimys bucharensis",177476
"528","Blarina brevicauda",54160
"529","Blarina carolinensis",404816
"530","Blarina hylophaga",404814
"531","Blarina peninsulae",3614400
"532","Blarinella griselda",638160
"533","Blarinella quadraticauda",3614452
"534","Blarinella wardi",3614453
"535","Blarinomys breviceps",196745
"536","Blastocerus dichotomus",678842
"537","Blastocerus sylvestris",7655668
"538","Bolomys amoenus",1068790
"539","Bolomys lasiurus",936613
"540","Bolomys temchuki",817135
"541","Bolomys urichi",435931
"542","Boneia bidens",798253
"543","Boromys offella",3610481
"544","Boromys torrei",3611111
"545","Borophagus diversidens",3612600
"546","Borophagus littoralis",3612564
"547","Borophagus parvus",3612543
"548","Borophagus secundus",3612601
"549","Bos bubalus",6146189
"550","Boselaphus derbianus",7655537
"551","Boselaphus tragocamelus",756060
"552","Bos grunniens",381164
"553","Bos mutus",905084
"554","Bos nanus",7655534
"555","Bos primigenius",1066590
"556","Bos pumilis",7655535
"557","Bos sauveli",620923
"558","Bos taurus",490099
"559","Brachiones przewalskii",89265
"560","Brachylagus idahoensis",923726
"561","Brachyphylla cavernarum",456526
"562","Brachyrhynchocyon sesnoni",3612562
"563","Brachytarsomys albicauda",441614
"564","Brachytarsomys villosa",3608553
"565","Brachyteles arachnoides",1058645
"566","Brachyteles hypoxanthus",574171
"567","Brachyuromys betsileoensis",441611
"568","Brachyuromys ramirohitra",277060
"569","Bradypus pygmaeus",736497
"570","Bradypus torquatus",759319
"571","Bradypus tridactylus",527342
"572","Bramapithecus thorpei",7655061
"573","Brandtocetus chongulek",6145836
"574","Brassomys albidens",3608698
"575","Brotomys contractus",3611167
"576","Brotomys voratus",3611106
"577","Brucepattersonius griserufescens",4940971
"578","Brucepattersonius guarani",4940970
"579","Brucepattersonius igniventris",540519
"580","Brucepattersonius iheringi",4940968
"581","Brucepattersonius misionensis",4940969
"582","Brucepattersonius paradisus",4940972
"583","Brucepattersonius soricinus",365306
"584","Bubalus andersoni",7655538
"585","Bubalus brachyceros",7655539
"586","Bubalus carabanensis",116346
"587","Bubalus centralis",7655540
"588","Bubalus depressicornis",346060
"589","Bubalus mephistopheles",5557506
"590","Bubalus mindorensis",989909
"591","Bubalus nilssoni",7655541
"592","Bubalus planiceros",7655542
"593","Bubalus quarlesi",463449
"594","Budorcas bedfordi",7655548
"595","Bullimus bagobus",931920
"596","Bullimus gamay",931923
"597","Bullimus luzonicus",931922
"598","Bunolagus monticularis",923729
"599","Bunomys andrewsi",742015
"600","Bunomys chrysocomus",481162
"601","Bunomys chrysocomys",7654737
"602","Bunomys coelestis",3608757
"603","Bunomys fratrorum",3608754
"604","Bunomys karokophilus",6144884
"605","Bunomys penitus",3608755
"606","Bunomys prolatus",3608753
"607","Bunomys torajae",6144885
"608","Burramys parvus",277687
"609","Cabassous centralis",4119200
"610","Cabassous chacoensis",4119201
"611","Cabassous tatouay",4119202
"612","Cabassous unicinctus",1014321
"613","Cacajao ayresi",6557
"614","Cacajao hosomi",6559
"615","Cacajao melanocephalus",1022358
"616","Cacajao rubicundus",4319
"617","Caedocyon tedfordi",3612609
"618","Caenolestes caniventer",3606854
"619","Caenolestes condorensis",3606857
"620","Caenolestes convelatus",3606853
"621","Caenolestes fuliginosus",306784
"622","Caenolestes sangay",5265285
"623","Calassomys apicalis",6144737
"624","Calcochloris tytonis",3607174
"625","Callicebus barbarabrownae",3607590
"626","Callicebus caquetensis",5925586
"627","Callicebus castaneoventris",7655122
"628","Callicebus coimbrai",210726
"629","Callicebus discolor",3607578
"630","Callicebus dubius",3607587
"631","Callicebus melanochir",3607582
"632","Callicebus nigrifrons",210741
"633","Callicebus ornatus",3607575
"634","Callimico goeldii",489230
"635","Callistomys pictus",3609815
"636","Callithrix aurita",341886
"637","Callithrix flaviceps",3607562
"638","Callithrix geoffroyi",683989
"639","Callithrix humeralifer",7655105
"640","Callithrix humilis",298261
"641","Callithrix jacchus",1015223
"642","Callithrix kuhlii",947308
"643","Callithrix pencillata",7655106
"644","Callithrix penicillata",341908
"645","Callithrix pygmaea",489225
"646","Callorhinus ursinus",949693
"647","Callosciurus adamsi",3609167
"648","Callosciurus baluensis",3609166
"649","Callosciurus caniceps",504021
"650","Callosciurus honkhoaiensis",7067500
"651","Callosciurus inornatus",3609162
"652","Callosciurus melanogaster",3609165
"653","Callosciurus nigrovittatus",371119
"654","Callosciurus notatus",1030052
"655","Callosciurus orestes",246726
"656","Callosciurus phayrei",3609161
"657","Callosciurus pygerythrus",3609168
"658","Callosciurus quinquestriatus",3609163
"659","Callospermophilus madrensis",782282
"660","Callospermophilus saturatus",208064
"661","Calomys boliviae",3608240
"662","Calomys callidus",893847
"663","Calomys callosus",39187
"664","Calomys cerqueirai",6144781
"665","Calomyscus bailwardi",611276
"666","Calomyscus baluchi",99511
"667","Calomyscus elburzensis",3608194
"668","Calomyscus grandis",3608193
"669","Calomyscus hotsoni",458712
"670","Calomyscus mystax",55942
"671","Calomyscus tsolovi",3608192
"672","Calomyscus urartensis",3608195
"673","Calomys expulsus",473784
"674","Calomys fecundus",463093
"675","Calomys hummelincki",654348
"676","Calomys laucha",39185
"677","Calomys lepidus",360776
"678","Calomys musculinus",39183
"679","Calomys sorellus",360774
"680","Calomys tener",990309
"681","Calomys tocantinsi",178057
"682","Calomys venustus",463094
"683","Caloprymnus campestris",83202
"684","Caluromys derbianus",307517
"685","Caluromysiops irrupta",608047
"686","Caluromys lanatus",606431
"687","Caluromys laniger",7657115
"688","Caluromys philander",589460
"689","Caluromys trinitatis",7657116
"690","Calyptophractus retusus",390325
"691","Camelus arctoamericanus",7655773
"692","Camelus bactrianus",510768
"693","Camelus dromedarius",510752
"694","Camelus ferus",596642
"695","Camelus maximus",7655774
"696","Camelus sivalensis",7655775
"697","Canariomys tamarani",3610606
"698","Canis adustus",621176
"699","Canis ameghinoi",7655930
"700","Canis antarticus",6145382
"701","Canis anthus",5835572
"702","Canis argentinus",7655931
"703","Canis armbrusteri",3612502
"704","Canis aureus",621168
"705","Canis brachypus",3612615
"706","Canis cautleyi",7655933
"707","Canis cedazoensis",3612507
"708","Canis chanco",7655934
"709","Canis chrysurus",7655935
"710","Canis curvipalatus",7655936
"711","Canis davisi",3612579
"712","Canis dingo",6145383
"713","Canis dirus",3612500
"714","Canis dukhunensis",7655937
"715","Canis edwardii",3612509
"716","Canis etruscus",7655938
"717","Canis ferox",3612501
"718","Canis gezi",7655939
"719","Canis gregarius",3612596
"720","Canis haydeni",3612614
"721","Canis himalaicus",7655940
"722","Canis himalayensis",346723
"723","Canis indica",346728
"724","Canis kokree",7655941
"725","Canis lanka",7655942
"726","Canis lateralis",7655943
"727","Canis latrans",247331
"728","Canis lemur",3612597
"729","Canis lepophagus",3612503
"730","Canis naria",7655946
"731","Canis nehringi",7655947
"732","Canis pallipes",7655948
"733","Canis palustris",7655949
"734","Canis peruanus",7655950
"735","Canis primaevus",7655951
"736","Canis rufus",113383
"737","Canis saevus",3612586
"738","Canis simensis",752755
"739","Canis sladeni",7655952
"740","Canis tarijensis",7655953
"741","Canis temerarius",4117983
"742","Canis ursinus",7655954
"743","Canis vafer",3612592
"744","Cannomys badius",3610667
"745","Cansumys canus",3611180
"746","Caperea marginata",397243
"747","Capra caucasica",698611
"748","Capra cylindricornis",698609
"749","Capra nubiana",698614
"750","Capra walie",541967
"751","Capra warryato",7655549
"752","Capreolus bedfordi",7655669
"753","Capreolus coxi",7655670
"754","Capreolus sussenbornensis",7655671
"755","Capricornis crispus",122642
"756","Capricornis osborni",7655551
"757","Capricornis pryerianus",7655552
"758","Capricornis rubidus",3611695
"759","Capricornis sumatraensis",798021
"760","Capricornis swinhoei",798024
"761","Caprolagus hispidus",144983
"762","Capromys gundlachianus",3609708
"763","Capromys ingrahami",7654479
"764","Capromys pilorides",848925
"765","Caracal caracal",1033549
"766","Cardiocranius paradoxus",1043488
"767","Cardioderma cor",539631
"768","Carlito syrichta",339031
"769","Carollia benkeithi",992663
"770","Carollia brevicauda",758569
"771","Carollia castanea",941606
"772","Carollia manu",3613603
"773","Carollia monohernandezi",6146446
"774","Carollia perspicillata",1039980
"775","Carollia sowelli",958288
"776","Carollia subrufa",587100
"777","Carollia verrucata",7656368
"778","Carpitalpa arendsi",178898
"779","Carpocyon webbi",3612605
"780","Carpomys melanurus",3608738
"781","Carpomys phaeurus",683562
"782","Carterodon sulcidens",3611107
"783","Casinycteris argynnis",663912
"784","Casinycteris campomaanensis",5553995
"785","Cassistrellus dimissus",1059877
"786","Cassistrellus yokdonensis",7067852
"787","Castor canadensis",886085
"788","Castoria angustidens",7067235
"789","Catagonus wagneri",488614
"790","Catopithecus browni",3607907
"791","Catopuma badia",763032
"792","Catopuma temminckii",763025
"793","Cavia cutleri",744011
"794","Cavia fulgida",236059
"795","Cavia intermedia",3609884
"796","Cavia magna",572994
"797","Cavia patzelti",236057
"798","Cavia porcellus",744000
"799","Cebuella niveiventris",7655107
"800","Cebus abifrons",7655114
"801","Cebus aequatorialis",6145179
"802","Cebus albifrons",197032
"803","Cebus brunneus",6145181
"804","Cebus cesarae",6145182
"805","Cebus cuscinus",6145183
"806","Cebus fatuellus",7655115
"807","Cebus imitator",6145184
"808","Cebus kaapori",913292
"809","Cebus leucocephalus",6145185
"810","Cebus malitiosus",6145186
"811","Cebus pallidus",7655116
"812","Cebus unicolor",6145189
"813","Cebus versicolor",6145190
"814","Cebus yuracus",6145191
"815","Centronycteris centralis",432531
"816","Centronycteris maximiliani",846879
"817","Centurio flavogularis",7656383
"818","Cephalophus abyssinicus",7655565
"819","Cephalophus adersi",436159
"820","Cephalophus aureus",7655566
"821","Cephalophus badius",7655567
"822","Cephalophus barbertoni",7655568
"823","Cephalophus bicolor",7655569
"824","Cephalophus breviceps",7655570
"825","Cephalophus brookei",3611667
"826","Cephalophus callipygus",436161
"827","Cephalophus campbelliae",7655571
"828","Cephalophus danei",7655572
"829","Cephalophus dorsalis",1054624
"830","Cephalophus fosteri",7655573
"831","Cephalophus harveyi",436149
"832","Cephalophus hooki",7655574
"833","Cephalophus ignifer",7655575
"834","Cephalophus jentinki",436151
"835","Cephalophus johnstoni",7655576
"836","Cephalophus leucogaster",603124
"837","Cephalophus longiceps",7655577
"838","Cephalophus lowei",7655578
"839","Cephalophus lugens",7655579
