"","synonyms","id"
"352","Mus sylvaticus niger",794922
"353","Apodemus sylvaticus grandiculus",794922
"354","Mus sylvaticus griseus",794922
"355","Sylvaemus sylvaticus flaviventris",794922
"356","Apodemus hebridensis nesiticus",794922
"357","Apodemus sylvaticus dichruoides",794922
"358","Apodemus sylvaticus falzefeini",794922
"359","Apodemus hebridensis maclean",794922
"360","Apodemus sylvaticus clanceyi",794922
"361","Apodemus sylvaticus milleri",794922
"362","Apodemus butei",794922
"363","Apodemus sylvaticus hermani",794922
"364","Apodemus cumbrae",794922
"365","Apodemus sylvaticus iconicus",1729
"366","Apodemus sylvaticus kilikiae",794922
"367","Apodemus hebridensis",794922
"368","Mus sylvaticus candidus",794922
"369","Apodemus flaviventris",794922
"370","Apodemus hebridensis fiolagan",794922
"371","Mus chamaeropsis",794922
"372","Mus sylvaticus celticus",794922
"373","Mus sylvaticus varius",794922
"374","Apodemus sylvaticus butei",794922
"375","Apodemus sylvaticus ilvanus",794922
"376","Apodemus krkensis",794922
"377","Apodemus vulgaris",794922
"378","Mus pecchioli",794922
"379","Apodemus callipides",794922
"380","Mus reboudia",794922
"381","Apodemus hirtensis",794922
"382","Apodemus islandicus",794922
"383","Apodemus fiolagan",794922
"384","Apodemus celticus",794922
"385","Mus sylvaticus fridariensis",794922
"386","Mus intermedius",794922
"387","Mus hayi",794922
"388","Apodemus hebridensis ghia",794922
"389","Apodemus ghia",794922
"390","Apodemus tural",794922
"391","Musculus dichrurus",794922
"392","Apodemus larus",794922
"393","Apodemus sylvaticus hessei",794922
"394","Apodemus tirae",794922
"395","Mus hirtensis",794922
"396","Apodemus hebridensis cumbrae",794922
"397","Apodemus alpinus",794922
"398","Mus islandicus",794922
"399","Apodemus intermedius",794922
"400","Apodemus microps",1087647
"401","Sylvaemus uralensis",1087647
"402","Mus sylvaticus mosquensis",1087647
"403","Sylvaemus sylvaticus ciscaucasicus",1087647
"404","Sylvaemus sylvaticus baessleri",1087647
"405","Mus uralensis",1087647
"406","Apodemus arianus pallidus",1087647
"407","Mus major",782280
"408","Apodemus microtis",1087647
"409","Mus tokmak",1087647
"410","Mus sylvaticus chorassanicus",926226
"411","Sylvaemus sylvaticus fulvipectus",926226
"412","Sylvaemus fulvipectus",754771
"413","Mus sylvaticus tauricus",926226
"414","Apodemus hermonensis",806809
"415","Apodemus fulvipectus",754771
"416","Apomys sp. SJS-2010a",625476
"417","Apomys sp. SJS-2010b",625477
"418","Apomys sp. SJS-2010c",625478
"419","Apomys sp. D",482741
"420","Apomys major",359217
"421","Apomys hylocetes",359227
"422","Apomys petraeus",359227
"423","Apomys bardus",359225
"424","Apomys sp. SJS-2010d",625467
"425","Apomys hollisteri",359223
"426","Apomys sp. SJS-2010e",103870
"427","Apomys sp. SJS-2010f",103874
"428","Apomys sp. SJS-2010g",103873
"429","Hemitragus jayakari",1068706
"430","Phenacomys albipes",663531
"431","Phenacomys longicaudus",663525
"432","Phenacomys silvicolus",663525
"433","Phenacomys pomo",663528
"434","Archaeotherium clavus",4944931
"435","Rhinoceros americanus",4944931
"436","Elotherium clavum",4944931
"437","Archaeotherium robustum",4944931
"438","Arctodon vetustum",4944931
"439","Eotherium americanum",4944931
"440","Entelodon mortoni",4944931
"441","Elotherium mortoni",4944931
"442","Menodus americanus",4944931
"443","Archboldomys sp. SAJ-2012",566959
"444","Arctocebus ruficeps",673376
"445","Perodicticus calabarensis",323051
"446","Arctocephalus australis gracilis",796568
"447","Arctocephalus australis australis",796568
"448","Phoca australis",796568
"449","Arctophoca australis",796568
"450","Arctocephalus gracilis",796568
"451","Arctophoca australis forsteri",180381
"452","Otaria forsteri",180381
"453","Arctocephalus australis forsteri",180381
"454","Arctophoca gazella",336157
"455","Arctocephalus gazella arnuxii",336157
"456","Otaria philippii",796545
"457","Arctophoca philippii",796545
"458","Arctocephalus philippii townsendi",796557
"459","Arctophoca townsendi",796557
"460","Gypsophoca tropicalis",336151
"461","Gypsophoca subtropicalus",336151
"462","Arctophoca tropicalis",336151
"463","Paguma trivirgata",768505
"464","Arctogale trivirgata",768505
"465","Paradoxurus trivirgatus",768505
"466","Arctonyx dictator",1086986
"467","Arctonyx annaeus",1086986
"468","Arctonyx collaris nemaeus",1086986
"469","Thainycteris aureocollaris",180056
"470","Pipistrellus circumdatus",1072700
"471","Vespertilio circumdatus",1072700
"472","Pipistrellus cuprosus",505791
"473","Pipistrellus societatis",3613872
"474","Istiophorus flavescens",842058
"475","Dermanura anderseni",805983
"476","Dermanura azteca",1039987
"477","Artibeus aztecus major",1039987
"478","Dermanura cinerea",513419
"479","Koopmania concolor",513416
"480","Enchisthenes hartii",927292
"481","Artibeus lituratus intermedius",805981
"482","Artibeus fuliginosus",513451
"483","Phyllostoma obscurum",513451
"484","Dermanura phaeotis",513447
"485","Artibeus phaeotis palatinus",513447
"486","Artibeus phaeotis nanus",513447
"487","Artibeus phaeotis phaeotis",513447
"488","Artibeus nanus",513447
"489","Artibeus jamaicensis schwartzi",62481
"490","Dermanura tolteca",362821
"491","Artibeus toltecus toltecus",362821
"492","Artibeus toltecus hesperus",362821
"493","Stenoderma tolteca",362821
"494","Arvicanthis abyssinicus virescens",481620
"495","Arvicanthis abyssinicus praeceps",481620
"496","Arvicanthis rumruti pallescens",481620
"497","Arvicanthis chanleri",481620
"498","Arvicanthis reptans",911456
"499","Arvicanthis abyssinicus rubescens",686838
"500","Arvicanthis abyssinicus centrosus",686838
"501","Arvicanthis testicularis solatus",686838
"502","Isomys variegatus minor",686838
"503","Arvicanthis niloticus naso",686838
"504","Isomys variegatus major",686838
"505","Mus discolor",686838
"506","Arvicanthis jebelae",686838
"507","Isomys testicularis",686838
"508","Hypudaeus variegatus",686838
"509","Arvicanthis occidentalis",3608719
"510","Arvicanthis mordax",3608719
"511","Arvicanthis setosus",3608719
"512","Arvicola terrestris (Linnaeus, 1758)",684847
"513","Mus terrestris",684847
"514","Arvicola amphibius reta",684847
"515","Arvicola terrestris variabilis",684847
"516","Microtus terrestris karatshaicus",684847
"517","Arvicola amphibius djukovi",684847
"518","Arvicola terrestris hintoni",684847
"519","Arvicola amphibius persicus",684847
"520","Arvicola amphibius minor",684847
"521","Arvicola amphibius kuruschi",684847
"522","Arvicola terrestris korabensis",684847
"523","Hypudaeus terrestris littoralis",684847
"524","? amphibius",684847
"525","Arvicola terrestris scythicus",684847
"526","Arvicola amphibius italicus",684847
"527","Arvicola terrestris abrukensis",684847
"528","Arvicola amphibius nigricans",684847
"529","Hypudaeus terrestris ater",684847
"530","Hypudaeus terrestris aquaticus",684847
"531","Microtus terrestris barabensis",684847
"532","Arvicola terrestris obensis",684847
"533","Microtus terrestris armenius",684847
"534","Arvicola terrestris tataricus",684847
"535","Arvicola amphibius brigantium",684847
"536","Arvicola terrestris cubanensis",684847
"537","Arvicola terrestris volgensis",684847
"538","Arvicola terrestris turovi",684847
"539","Microtus terrestris rufescens",684847
"540","Arvicola terrestris caucasicus",684847
"541","Arvicola terrestris kuznetzovi",684847
"542","Arvicola musignani fuliginosus",684847
"543","Arvicola amphibius meridionalis",684847
"544","Mus paludosus",684847
"545","Arvicola terrestris cernjavskii",684847
"546","Arvicola terrestris stankovici",684847
"547","Arvicola terrestris ferrugineus",684847
"548","Arvicola terrestris amphibius",684847
"549","Arvicola destructor",684847
"550","Arvicola terrestris martinoi",684847
"551","Mus amphibius",684847
"552","Arvicola terrestris jacutensis",684847
"553","Arvicola terrestris",684847
"554","Arvicola terrestris ognevi",684847
"555","Microtus musignani illyricus",684847
"556","Arvicola pertinax",684847
"557","Arvicola musignani",684847
"558","Arvicola illyticus",684847
"559","Arvicola americana",684847
"560","Arvicola abrukensis",684847
"561","Microtus terrestris hyperryphaeus",684847
"562","Arvicola albus",684847
"563","Microtus amphibius",684847
"564","Nesokia argyropus",684847
"565","Arvicola tataricus",684847
"566","Arvicola ater",684847
"567","Lemmus aquaticus",684847
"568","Arvicola canus",684847
"569","Arvicola reta",684847
"570","Arvicola tanaitica",684847
"571","Arvicola buffoni",684847
"572","Arvicola terrestris cantiana",7654584
"573","Arvicola tenebricus",1035813
"574","Microtus musiniani",1035813
"575","Arvicola terrestris exitus",496185
"576","Arvicola terrestris monticola",496185
"577","Arvicola scherman exitus",496185
"578","Arvicola terrestris niger",496185
"579","Lemmus arvalis buffonii",496185
"580","? scherman",496185
"581","Mus amphibius canus",496185
"582","Arvicola terrestris castaneus",496185
"583","Arvicola terrestris scherman",496185
"584","Mus amphibius albus",496185
"585","Arvicola exitus",496185
"586","Spalax minor",496185
"587","Mus schermaus",496185
"588","Arvicola monticola",496185
"589","Arvicola argentoratensis",496185
"590","Asellia tridens italosomalica",6146412
"591","Rhinolophus tridens",992342
"592","Asellia stoliczkana",791905
"593","Aethechinus algirus",805535
"594","Erinaceus algirus",805535
"595","Ateles frontalis",3607557
"596","Cebus paniscus cayennensis",217258
"597","Cebus paniscus surinamensis",217258
"598","Simia paniscus",217258
"599","Ateles subpentadactylus",217258
"600","Ateles ater",217258
"601","Ateles pentadactylus",217258
"602","Canis microtis",621172
"603","Dusicyon microtis",621172
"604","Hystrix macroura",173065
"605","Herpestes paludinosus",750141
"606","Athylax paludinosus",750141
"607","Mungos paludinosus",750141
"608","Sciurus getulus",327763
"609","Phyllotis boliviensis flavidior",150621
"610","Loxodontomys micropus",784312
"611","Euneomys micropus alsus",784312
"612","Phyllotis micropus fumipes",784312
"613","? micropus",784312
"614","Phyllotis decoloratus",360772
"615","Euneomys leucurus",739479
"616","Ardipithecus ramidus",3607716
"617","Avahis laniger orientalis",516002
"618","Iropocus laniger",516002
"619","Lemur laniger",516002
"620","Microrhynchus laniger",516002
"621","Indris longicaudatus",516002
"622","Habrocebus lanatus",516002
"623","Cervus axis",906317
"624","Axis porcinus calamianensis",3611944
"625","? calamianensis",3611944
"626","Axis porcinus kuhli",118577
"627","Babyrousa babyrussa beruensis",773454
"628","Sus babyrussa",773454
"629","Babyrousa babyrussa celebensis",3611403
"630","Baiomys musculus pallidus",275823
"631","Baiomys musculus pullus",275823
"632","Baiomys musculus grisescens",275823
"633","Peromyscus musculus nigrescens",275823
"634","Baiomys musculus nebulosus",275823
"635","Baiomys musculus infernatis",275823
"636","Peromyscus musculus brunneus",275823
"637","Baiomys musculus handleyi",275823
"638","Peromyscus taylori analogus",39171
"639","Peromyscus taylori subater",39171
"640","Baiomys taylori ater",39171
"641","Baiomys taylori fuliginatus",39171
"642","Hesperomys taylori",39171
"643","Baiomys taylori canutus",39171
"644","Peromyscus allex",39171
"645","Peromyscus paulus",39171
"646","Hydromys habbema",3608609
"647","Hydromys shawmayeri",3608614
"648","Balaenula montalionis",3612191
"649","Balaena montolionis",3612191
"650","Balaena mysticetus pitlekajensis",397231
"651","Balaena mysticetus groenlandica",397231
"652","Balaena mysticetus borealis",397231
"653","Baloena mysticetus",397231
"654","Balaena mysticetus roysii",397231
"655","Balaena mysticetus arctica",397231
"656","Balaena prisca",698424
"657","Balaenoptera huttoni",44568
"658","Balaenoptera racovitzai",44568
"659","Balaenoptera acutorostrata bonaerensis",44568
"660","Pterobalaena bonaerensis",44568
"661","Balaenoptera bonaerensis huttoni",44568
"662","Physalus antarcticus",44568
"663","Balaenoptera bonaerensis commersonii",44568
"664","Balaenoptera laticeps",800329
"665","Balaenoptera arctica",800329
"666","Balaenoptera alba",800329
"667","Balaenoptera schlegelii",800329
"668","Balaenoptera schlegellii",800329
"669","Balaenoptera iwasi",800329
"670","Balaena sulcata arctica",800329
"671","Pterobalaena schlegeli",800329
"672","Pterobalaena alba",800329
"673","Balena rostrata",800329
"674","Belaenoptera schlegeli",800329
"675","Pterobalaena schlegeli alba",800329
"676","Rorqualus borealis",800329
"677","Rudolphius laticeps",800329
"678","Sibbaldius laticeps",800329
"679","Sibbaldus laticeps",800329
"680","Physalus iwasi",800329
"681","Balaenoptera swinhoei alba",800329
"682","Sibbaldius schlegelii",800329
"683","Balaena rostrata",1003913
"684","Balaenoptera edeni brydei",959341
"685","Balaenoptera edeni edeni",800331
"686","Balaenoptera brydei",959341
"687","Rorqualus edeni",800331
"688","Baloenoptera brydei",800331
"689","Balaenoptera carolinae",226190
"690","Balaenoptera indica",226190
"691","Balaenoptera gigas",226190
"692","Balaena borealis",226190
"693","Balaenoptera sibbaldii",226190
"694","Balaenoptera sibbaldi",226190
"695","Balaena musculus",226190
"696","Balaenoptera jubartes",226190
"697","Balaenoptera miramaris",226190
"698","Balaena maximus",226190
"699","Stenobalaena xanthogaster",226190
"700","Cuvierius latirostris",226190
"701","Rorqualus musculus",226190
"702","Pterobalaena grypus",226190
"703","Rorqualus boops",226190
"704","Pterobalaena gigas",226190
"705","Balaenoptera sulfurea",226190
"706","Sibbaldus borealis",226190
"707","Physalus latirostris",226190
"708","Sibbaldius borealis",226190
"709","Physalus boops",226190
"710","Physalus indicus",226190
"711","Sibbaldius sulfureus",226190
"712","Sibbaldius musculus",226190
"713","Sibbaldius antarcticus",226190
"714","Sibbaldus musculus",226190
"715","Physalus sibbaldii",226190
"716","Rorqualus major",226190
"717","Balaenoptera intermedia",226190
"718","Rorqualus borealis",800329
"719","Balaenoptera edeni omurai",313151
"720","Rorqualus omurai",313151
"721","Balaenoptera rorqual",226193
"722","Balaenoptera brasiliensis",226193
"723","Balaenoptera blythii",226193
"724","Balaenoptera gibbar",226193
"725","Balaena antipodarum",397243
"726","Balaena antiquorum",226193
"727","Balaenoptera velifera",226193
"728","Balaenoptera swinhoii",226193
"729","Balaenoptera tenuirostris",226193
"730","Balaenoptera musculus",226190
"731","Balaenoptera patachonicus",226193
"732","Balaenoptera antarctica",1072344
"733","Balaena quoyi",226193
"734","Balaenoptera australis",226193
"735","Balaena boops",226193
"736","Balaena physalis",226193
"737","Balaenoptera aragous",226193
"738","Balaena physalus",226193
"739","Balaena sulcata",226193
"740","Balaenoptera quoyii",226193
"741","Balaenoptera patagonica",226193
"742","Balaenoptera mediterraneensis",226193
"743","Balaenoptera mediterranensis",226193
"744","Balaenoptera patachonica",226193
"745","Balaenoptera copei",226193
"746","Pterobalaena gigantea",226193
"747","Balaenoptera sulcata",226193
"748","Balaena maximus borealis",226193
"749","Balaena mysticetus major",226193
"750","Balaena rostrata australis",226193
"751","Pterobalaena gigantea michrochira",226193
"752","Balaenoptera velifera copei",226193
"753","Balaenoptera sulcata arctica",226193
"754","Dubertus rhodinsulensis",226193
"755","Pterobalaena communis",226193
"756","Balaenoptera antiquorum",226193
"757","Physalus duguidii",226193
"758","Balaenoptera schlegeli swinhoei",226193
"759","Balaenoptera patachonicha tschudii",226193
"760","Physalus verus",226193
"761","Swinhoia chinensis",226193
"762","Balaenopteris guibusdam",226193
"763","Balaenoptera physalis",226193
"764","Balaena tschudii",226193
"765","Sibbaldius tuberosus",226193
"766","Physalus dugundii",226193
"767","Benedenia knoxii",226193
"768","Physalus patachonicus",226193
"769","Physalus australis",226193
"770","Physalis vulgaris",226193
"771","Sibbaldius tectirostris",226193
"772","Physalus brasiliensis",226193
"773","Physalus fasciatus",226193
"774","Physalus antarcticus",44568
"775","Rorqualus musculus",226190
"776","Balionycteris seimundi",37727
"777","Mus providens",106786
