"","synonyms"
"149","Cheirogaleus trichotis"
"150","Cercopithecus lhoesti"
"151","Chlorocebus lhoesti"
"152","Cercopithecus thomasi rutschuricus"
"153","Cercopithecus thomasi"
"154","Cercopithecus solatus"
"155","Chlorocebus solatus"
"156","Cricetulus eversmanni"
"157","Cricetulus eversmanni beljaevi"
"158","Cricetulus eversmanni belajevi"
"159","Mesocricetus microdon"
"160","Cricetulus beljawi"
"161","Alouatta seniculus arctoidea"
"162","Simia ursinus"
"163","Simia caraya"
"164","Simia straminea"
"165","Stentor niger"
"166","Mycetes barbatus"
"167","Mycetes discolor"
"168","Alouatta palliata luctuosa"
"169","Mycetes villosus"
"170","Alouatta seniculus sara"
"171","Alouatta belzebul ululata"
"172","Alticola acmaeus"
"173","Alticola albicauda"
"174","Alticola blanfordi lahulius"
"175","Alticola worthingtoni subluteus"
"176","Alticola argentata rosanovi"
"177","Alticola argentata shnitnikovi"
"178","Alticola villosa"
"179","Alticola gracilis"
"180","Microtus argurus"
"181","Alticola worthingtoni"
"182","Alticola longicauda"
"183","Arvicola severtzovi"
"184","Alticola phasma"
"185","Arvicola blanfordi"
"186","Microtus imitator"
"187","Alticola roylei cautus"
"188","Microtus nanschanicus"
"189","Alticola stracheyi"
"190","Microtus cricetulus"
"191","Arvicola stracheyi"
"192","Microtus acrophilus"
"193","Microtus lama"
"194","Tamias interpres"
"195","Tamias leucurus"
"196","Spermophilus leucurus"
"197","Antilope lervia"
"198","Tupaia ellioti"
"199","Andinomys edax lineicaudatus"
"200","Anomalurus sp. ED-2017"
"201","Anomalurus beecrofti citrinus"
"202","Anomalurus beecrofti hervoi"
"203","Anomalurus beecrofti argenteus"
"204","Anomalurus beecrofti schoutedeni"
"205","Anomalurus fulgens"
"206","Anomalurus laniger"
"207","Anomalurops chapini"
"208","Anomalurus imperator"
"209","Anomalurus jacksoni perustus"
"210","Anomalurus fraseri nigrescens"
"211","Anomalurus jacksoni jordani"
"212","Anomalurus fraseri griselda"
"213","Anomalurus jacksoni fortior"
"214","Anomalurus fraseri laticeps"
"215","Anomalurus fraseri"
"216","Anomalurus chrysophaenus"
"217","Anomalurus orientalis"
"218","Anomalurus jacksoni"
"219","Anomalurus cinereus"
"220","Anomalurus neavei"
"221","Anomalurus erythronotus"
"222","Anomalurus beldeni"
"223","Pteromys squamicaudus"
"224","Pteromys derbianus"
"225","Anomalurus batesi"
"226","Anoura caudifera"
"227","Glossophaga caudifer"
"228","Anoura geoffroyi peruana"
"229","Rhinchonycteris peruana"
"230","Anourosorex squamipes yamashinai"
"231","Anourosorex yamashina"
"232","Sminthopsis laniger"
"233","? laniger"
"234","Phascogale flavipes adusta"
"235","Phascogale bella"
"236","Phascogale godmani"
"237","Phascomurexia naso"
"238","? naso"
"239","Antechinus unicolor"
"240","Phascogale flavipes"
"241","Phascogale swainsonii mimetes"
"242","Phascogale swainsonii"
"243","Antilope marsupialis"
"244","Sigmodontinae sp. SB-2015"
"245","Capra cervicapra"
"246","Bauereus dubiaquercus"
"247","Bauerus dubiaquercus"
"248","Lutra inunguis"
"249","Lutra capensis"
"250","Anahyster calabaricus"
"251","Aonyx delalandi"
"252","Lutra lenoiri"
"253","Amblonyx cinereus"
"254","Aonyx cinerea"
"255","Lutra cinerea"
"256","Micraonyx cinerea"
"257","Aotus lemurinus brumbacki"
"258","Aotus lemurinus griseimembra"
"259","Aotus bipunstatus"
"260","Aotus lanius"
"261","Aotus hershkovitzi"
"262","Aotus pervigilis"
"263","Aotus aversus"
"264","Nyctipithecus hirsutus"
"265","Nyctipithecus villosus"
"266","Aotus nancymai"
"267","Aotus senex"
"268","Cheirogaleus commersonii"
"269","Simia trivirgata"
"270","Nyctipithecus trivirgatus"
"271","Nyctipithecus duruculi"
"272","Nyctipithecus felinus"
"273","Aotus microdon"
"274","Nyctipithecus oseryi"
"275","Nyctipithecus rufipes"
"276","Aotus gularis"
"277","Nyctipithecus spixi"
"278","Aotus lemurinus zonalis"
"279","Apodemus alpinus"
"280","Micromys geisha celatus"
"281","Apodemus geisha yakui"
"282","Apodemus geisha tanei"
"283","Micromys geisha hokkaidi"
"284","Apodemus geisha sagax"
"285","Micromys geisha"
"286","Apodemus agrarius chejuensis"
"287","Apodemus fergussoni"
"288","Sylvaemus ciscaucasicus"
"289","Sylvaemus flavicollis"
"290","Apodemus wintoni"
"291","Apodemus flavicollis samariensis"
"292","Apodemus flavicollis saturatus"
"293","Mus sylvaticus princeps"
"294","Mus flavicollis"
"295","Mus sylvaticus typicus"
"296","Mus sylvaticus fennicus"
"297","Apodemus flavicollis brauneri"
"298","Sylvaemus sylvaticus stankovici"
"299","Apodemus arianus"
"300","Apodemus brauneri"
"301","Mus sylvaticus wintoni"
"302","Apodemus samariensis"
"303","Apodemus parvus"
"304","Mus cellarius"
"305","Mus arianus"
"306","Apodemus cellarius"
"307","Mus erythronotus"
"308","Sylvaemus fulvipectus"
"309","Apodemus sylvaticus iconicus"
"310","Apodemus mystacinus rhodius"
"311","Apodemus flavicollis pohlei"
"312","Apodemus mystacinus euxinus"
"313","Mus mystacinus smyrnensis"
"314","Mus mystacinus"
"315","Apodemus sylvaticus pallipes"
"316","Micromys sylvaticus pentax"
"317","Micromys sylvaticus wardi"
"318","Apodemus wardi"
"319","Sylvaemus ponticus"
"320","Apodemus flavicollis argyropuloi"
"321","Apodemus flavicollis parvus"
"322","Mus arianus griseus"
"323","Apodemus speciosus tusimaensis"
"324","Apodemus speciosus dorsalis"
"325","Apodemus speciosus insperatus"
"326","Micromys speciosus navigator"
"327","Micromys speciosus ainu"
"328","Apodemus speciosus sadoensis"
"329","Sylvaemus sylvaticus"
"330","Mus algirus"
"331","Mus sylvaticus"
"332","Apodemus bergensis"
"333","Mus hebridensis"
"334","Apodemus creticus"
"335","Apodemus hebridensis tirae"
"336","Mus sylvaticus isabellinus"
"337","Apodemus sylvaticus creticus"
"338","Mus sylvaticus parvus"
"339","Mus sylvaticus albus"
"340","Apodemus fridariensis thuleo"
"341","Apodemus hebridensis hamiltoni"
"342","Apodemus sylvaticus maximus"
"343","Apodemus fridariensis grantii"
"344","Apodemus hebridensis larus"
"345","Mus sylvaticus leucocephalus"
"346","Apodemus hebridensis tural"
"347","Mus sylvaticus alpinus"
"348","Micromys sylvaticus callipides"
"349","Apodemus sylvaticus spadix"
"350","Mus sylvaticus bergensis"
"351","Mus sylvaticus flavobrunneus"
"352","Mus sylvaticus niger"
"353","Apodemus sylvaticus grandiculus"
"354","Mus sylvaticus griseus"
"355","Sylvaemus sylvaticus flaviventris"
"356","Apodemus hebridensis nesiticus"
"357","Apodemus sylvaticus dichruoides"
"358","Apodemus sylvaticus falzefeini"
"359","Apodemus hebridensis maclean"
"360","Apodemus sylvaticus clanceyi"
"361","Apodemus sylvaticus milleri"
"362","Apodemus butei"
"363","Apodemus sylvaticus hermani"
"364","Apodemus cumbrae"
"365","Apodemus sylvaticus iconicus"
"366","Apodemus sylvaticus kilikiae"
"367","Apodemus hebridensis"
"368","Mus sylvaticus candidus"
"369","Apodemus flaviventris"
"370","Apodemus hebridensis fiolagan"
"371","Mus chamaeropsis"
"372","Mus sylvaticus celticus"
"373","Mus sylvaticus varius"
"374","Apodemus sylvaticus butei"
"375","Apodemus sylvaticus ilvanus"
"376","Apodemus krkensis"
"377","Apodemus vulgaris"
"378","Mus pecchioli"
"379","Apodemus callipides"
"380","Mus reboudia"
"381","Apodemus hirtensis"
"382","Apodemus islandicus"
"383","Apodemus fiolagan"
"384","Apodemus celticus"
"385","Mus sylvaticus fridariensis"
"386","Mus intermedius"
"387","Mus hayi"
"388","Apodemus hebridensis ghia"
"389","Apodemus ghia"
"390","Apodemus tural"
"391","Musculus dichrurus"
"392","Apodemus larus"
"393","Apodemus sylvaticus hessei"
"394","Apodemus tirae"
"395","Mus hirtensis"
"396","Apodemus hebridensis cumbrae"
"397","Apodemus alpinus"
"398","Mus islandicus"
"399","Apodemus intermedius"
"400","Apodemus microps"
"401","Sylvaemus uralensis"
"402","Mus sylvaticus mosquensis"
"403","Sylvaemus sylvaticus ciscaucasicus"
"404","Sylvaemus sylvaticus baessleri"
"405","Mus uralensis"
"406","Apodemus arianus pallidus"
"407","Mus major"
"408","Apodemus microtis"
"409","Mus tokmak"
"410","Mus sylvaticus chorassanicus"
"411","Sylvaemus sylvaticus fulvipectus"
"412","Sylvaemus fulvipectus"
"413","Mus sylvaticus tauricus"
"414","Apodemus hermonensis"
"415","Apodemus fulvipectus"
"416","Apomys sp. SJS-2010a"
"417","Apomys sp. SJS-2010b"
"418","Apomys sp. SJS-2010c"
"419","Apomys sp. D"
"420","Apomys major"
"421","Apomys hylocetes"
"422","Apomys petraeus"
"423","Apomys bardus"
"424","Apomys sp. SJS-2010d"
"425","Apomys hollisteri"
"426","Apomys sp. SJS-2010e"
"427","Apomys sp. SJS-2010f"
"428","Apomys sp. SJS-2010g"
"429","Hemitragus jayakari"
"430","Phenacomys albipes"
"431","Phenacomys longicaudus"
"432","Phenacomys silvicolus"
"433","Phenacomys pomo"
"434","Archaeotherium clavus"
"435","Rhinoceros americanus"
"436","Elotherium clavum"
"437","Archaeotherium robustum"
"438","Arctodon vetustum"
"439","Eotherium americanum"
"440","Entelodon mortoni"
"441","Elotherium mortoni"
"442","Menodus americanus"
"443","Archboldomys sp. SAJ-2012"
"444","Arctocebus ruficeps"
"445","Perodicticus calabarensis"
"446","Arctocephalus australis gracilis"
"447","Arctocephalus australis australis"
"448","Phoca australis"
"449","Arctophoca australis"
"450","Arctocephalus gracilis"
"451","Arctophoca australis forsteri"
"452","Otaria forsteri"
"453","Arctocephalus australis forsteri"
"454","Arctophoca gazella"
"455","Arctocephalus gazella arnuxii"
"456","Otaria philippii"
"457","Arctophoca philippii"
"458","Arctocephalus philippii townsendi"
"459","Arctophoca townsendi"
"460","Gypsophoca tropicalis"
"461","Gypsophoca subtropicalus"
"462","Arctophoca tropicalis"
"463","Paguma trivirgata"
"464","Arctogale trivirgata"
"465","Paradoxurus trivirgatus"
"466","Arctonyx dictator"
"467","Arctonyx annaeus"
"468","Arctonyx collaris nemaeus"
"469","Thainycteris aureocollaris"
"470","Pipistrellus circumdatus"
"471","Vespertilio circumdatus"
"472","Pipistrellus cuprosus"
"473","Pipistrellus societatis"
"474","Istiophorus flavescens"
"475","Dermanura anderseni"
"476","Dermanura azteca"
"477","Artibeus aztecus major"
"478","Dermanura cinerea"
"479","Koopmania concolor"
"480","Enchisthenes hartii"
"481","Artibeus lituratus intermedius"
"482","Artibeus fuliginosus"
"483","Phyllostoma obscurum"
"484","Dermanura phaeotis"
"485","Artibeus phaeotis palatinus"
"486","Artibeus phaeotis nanus"
"487","Artibeus phaeotis phaeotis"
"488","Artibeus nanus"
"489","Artibeus jamaicensis schwartzi"
"490","Dermanura tolteca"
"491","Artibeus toltecus toltecus"
"492","Artibeus toltecus hesperus"
"493","Stenoderma tolteca"
"494","Arvicanthis abyssinicus virescens"
"495","Arvicanthis abyssinicus praeceps"
"496","Arvicanthis rumruti pallescens"
"497","Arvicanthis chanleri"
"498","Arvicanthis reptans"
"499","Arvicanthis abyssinicus rubescens"
"500","Arvicanthis abyssinicus centrosus"
"501","Arvicanthis testicularis solatus"
"502","Isomys variegatus minor"
"503","Arvicanthis niloticus naso"
"504","Isomys variegatus major"
"505","Mus discolor"
"506","Arvicanthis jebelae"
"507","Isomys testicularis"
"508","Hypudaeus variegatus"
"509","Arvicanthis occidentalis"
"510","Arvicanthis mordax"
"511","Arvicanthis setosus"
"512","Arvicola terrestris (Linnaeus, 1758)"
"513","Mus terrestris"
"514","Arvicola amphibius reta"
"515","Arvicola terrestris variabilis"
"516","Microtus terrestris karatshaicus"
"517","Arvicola amphibius djukovi"
"518","Arvicola terrestris hintoni"
"519","Arvicola amphibius persicus"
"520","Arvicola amphibius minor"
"521","Arvicola amphibius kuruschi"
"522","Arvicola terrestris korabensis"
"523","Hypudaeus terrestris littoralis"
"524","? amphibius"
"525","Arvicola terrestris scythicus"
"526","Arvicola amphibius italicus"
"527","Arvicola terrestris abrukensis"
"528","Arvicola amphibius nigricans"
"529","Hypudaeus terrestris ater"
"530","Hypudaeus terrestris aquaticus"
"531","Microtus terrestris barabensis"
"532","Arvicola terrestris obensis"
"533","Microtus terrestris armenius"
"534","Arvicola terrestris tataricus"
"535","Arvicola amphibius brigantium"
"536","Arvicola terrestris cubanensis"
"537","Arvicola terrestris volgensis"
"538","Arvicola terrestris turovi"
"539","Microtus terrestris rufescens"
"540","Arvicola terrestris caucasicus"
"541","Arvicola terrestris kuznetzovi"
"542","Arvicola musignani fuliginosus"
"543","Arvicola amphibius meridionalis"
"544","Mus paludosus"
"545","Arvicola terrestris cernjavskii"
"546","Arvicola terrestris stankovici"
"547","Arvicola terrestris ferrugineus"
"548","Arvicola terrestris amphibius"
"549","Arvicola destructor"
"550","Arvicola terrestris martinoi"
"551","Mus amphibius"
"552","Arvicola terrestris jacutensis"
"553","Arvicola terrestris"
"554","Arvicola terrestris ognevi"
"555","Microtus musignani illyricus"
"556","Arvicola pertinax"
"557","Arvicola musignani"
"558","Arvicola illyticus"
"559","Arvicola americana"
"560","Arvicola abrukensis"
"561","Microtus terrestris hyperryphaeus"
"562","Arvicola albus"
"563","Microtus amphibius"
"564","Nesokia argyropus"
"565","Arvicola tataricus"
"566","Arvicola ater"
"567","Lemmus aquaticus"
"568","Arvicola canus"
"569","Arvicola reta"
"570","Arvicola tanaitica"
"571","Arvicola buffoni"
"572","Arvicola terrestris cantiana"
"573","Arvicola tenebricus"
"574","Microtus musiniani"
"575","Arvicola terrestris exitus"
"576","Arvicola terrestris monticola"
"577","Arvicola scherman exitus"
"578","Arvicola terrestris niger"
"579","Lemmus arvalis buffonii"
"580","? scherman"
"581","Mus amphibius canus"
"582","Arvicola terrestris castaneus"
"583","Arvicola terrestris scherman"
"584","Mus amphibius albus"
"585","Arvicola exitus"
"586","Spalax minor"
"587","Mus schermaus"
"588","Arvicola monticola"
"589","Arvicola argentoratensis"
"590","Asellia tridens italosomalica"
"591","Rhinolophus tridens"
"592","Asellia stoliczkana"
"593","Aethechinus algirus"
"594","Erinaceus algirus"
"595","Ateles frontalis"
"596","Cebus paniscus cayennensis"
"597","Cebus paniscus surinamensis"
"598","Simia paniscus"
"599","Ateles subpentadactylus"
"600","Ateles ater"
"601","Ateles pentadactylus"
"602","Canis microtis"
"603","Dusicyon microtis"
"604","Hystrix macroura"
"605","Herpestes paludinosus"
"606","Athylax paludinosus"
"607","Mungos paludinosus"
"608","Sciurus getulus"
"609","Phyllotis boliviensis flavidior"
"610","Loxodontomys micropus"
"611","Euneomys micropus alsus"
"612","Phyllotis micropus fumipes"
"613","? micropus"
"614","Phyllotis decoloratus"
"615","Euneomys leucurus"
"616","Ardipithecus ramidus"
"617","Avahis laniger orientalis"
"618","Iropocus laniger"
"619","Lemur laniger"
"620","Microrhynchus laniger"
"621","Indris longicaudatus"
"622","Habrocebus lanatus"
"623","Cervus axis"
"624","Axis porcinus calamianensis"
"625","? calamianensis"
"626","Axis porcinus kuhli"
"627","Babyrousa babyrussa beruensis"
"628","Sus babyrussa"
"629","Babyrousa babyrussa celebensis"
"630","Baiomys musculus pallidus"
"631","Baiomys musculus pullus"
"632","Baiomys musculus grisescens"
"633","Peromyscus musculus nigrescens"
"634","Baiomys musculus nebulosus"
"635","Baiomys musculus infernatis"
"636","Peromyscus musculus brunneus"
"637","Baiomys musculus handleyi"
"638","Peromyscus taylori analogus"
"639","Peromyscus taylori subater"
"640","Baiomys taylori ater"
"641","Baiomys taylori fuliginatus"
"642","Hesperomys taylori"
"643","Baiomys taylori canutus"
"644","Peromyscus allex"
"645","Peromyscus paulus"
"646","Hydromys habbema"
"647","Hydromys shawmayeri"
"648","Balaenula montalionis"
"649","Balaena montolionis"
"650","Balaena mysticetus pitlekajensis"
"651","Balaena mysticetus groenlandica"
"652","Balaena mysticetus borealis"
"653","Baloena mysticetus"
"654","Balaena mysticetus roysii"
"655","Balaena mysticetus arctica"
"656","Balaena prisca"
"657","Balaenoptera huttoni"
"658","Balaenoptera racovitzai"
"659","Balaenoptera acutorostrata bonaerensis"
"660","Pterobalaena bonaerensis"
"661","Balaenoptera bonaerensis huttoni"
"662","Physalus antarcticus"
"663","Balaenoptera bonaerensis commersonii"
"664","Balaenoptera laticeps"
"665","Balaenoptera arctica"
"666","Balaenoptera alba"
"667","Balaenoptera schlegelii"
"668","Balaenoptera schlegellii"
"669","Balaenoptera iwasi"
"670","Balaena sulcata arctica"
"671","Pterobalaena schlegeli"
"672","Pterobalaena alba"
"673","Balena rostrata"
"674","Belaenoptera schlegeli"
"675","Pterobalaena schlegeli alba"
"676","Rorqualus borealis"
"677","Rudolphius laticeps"
"678","Sibbaldius laticeps"
"679","Sibbaldus laticeps"
"680","Physalus iwasi"
"681","Balaenoptera swinhoei alba"
"682","Sibbaldius schlegelii"
"683","Balaena rostrata"
"684","Balaenoptera edeni brydei"
"685","Balaenoptera edeni edeni"
"686","Balaenoptera brydei"
"687","Rorqualus edeni"
"688","Baloenoptera brydei"
"689","Balaenoptera carolinae"
"690","Balaenoptera indica"
"691","Balaenoptera gigas"
"692","Balaena borealis"
"693","Balaenoptera sibbaldii"
"694","Balaenoptera sibbaldi"
"695","Balaena musculus"
"696","Balaenoptera jubartes"
"697","Balaenoptera miramaris"
"698","Balaena maximus"
"699","Stenobalaena xanthogaster"
"700","Cuvierius latirostris"
"701","Rorqualus musculus"
"702","Pterobalaena grypus"
"703","Rorqualus boops"
"704","Pterobalaena gigas"
"705","Balaenoptera sulfurea"
"706","Sibbaldus borealis"
"707","Physalus latirostris"
"708","Sibbaldius borealis"
"709","Physalus boops"
"710","Physalus indicus"
"711","Sibbaldius sulfureus"
"712","Sibbaldius musculus"
"713","Sibbaldius antarcticus"
"714","Sibbaldus musculus"
"715","Physalus sibbaldii"
"716","Rorqualus major"
"717","Balaenoptera intermedia"
"718","Rorqualus borealis"
"719","Balaenoptera edeni omurai"
"720","Rorqualus omurai"
"721","Balaenoptera rorqual"
"722","Balaenoptera brasiliensis"
"723","Balaenoptera blythii"
"724","Balaenoptera gibbar"
"725","Balaena antipodarum"
"726","Balaena antiquorum"
"727","Balaenoptera velifera"
"728","Balaenoptera swinhoii"
"729","Balaenoptera tenuirostris"
"730","Balaenoptera musculus"
"731","Balaenoptera patachonicus"
"732","Balaenoptera antarctica"
"733","Balaena quoyi"
"734","Balaenoptera australis"
"735","Balaena boops"
"736","Balaena physalis"
"737","Balaenoptera aragous"
"738","Balaena physalus"
"739","Balaena sulcata"
"740","Balaenoptera quoyii"
"741","Balaenoptera patagonica"
"742","Balaenoptera mediterraneensis"
"743","Balaenoptera mediterranensis"
"744","Balaenoptera patachonica"
"745","Balaenoptera copei"
"746","Pterobalaena gigantea"
"747","Balaenoptera sulcata"
"748","Balaena maximus borealis"
"749","Balaena mysticetus major"
"750","Balaena rostrata australis"
"751","Pterobalaena gigantea michrochira"
"752","Balaenoptera velifera copei"
"753","Balaenoptera sulcata arctica"
"754","Dubertus rhodinsulensis"
"755","Pterobalaena communis"
"756","Balaenoptera antiquorum"
"757","Physalus duguidii"
"758","Balaenoptera schlegeli swinhoei"
"759","Balaenoptera patachonicha tschudii"
"760","Physalus verus"
"761","Swinhoia chinensis"
"762","Balaenopteris guibusdam"
"763","Balaenoptera physalis"
"764","Balaena tschudii"
"765","Sibbaldius tuberosus"
"766","Physalus dugundii"
"767","Benedenia knoxii"
"768","Physalus patachonicus"
"769","Physalus australis"
"770","Physalis vulgaris"
"771","Sibbaldius tectirostris"
"772","Physalus brasiliensis"
"773","Physalus fasciatus"
"774","Physalus antarcticus"
"775","Rorqualus musculus"
"776","Balionycteris seimundi"
"777","Mus providens"
"778","Gunomys kok insularis"
"779","Gunomys varius"
"780","Mus dubius"
"781","Mus blythianus"
"782","Mus morungensis"
"783","Nesokia gracilis"
"784","Gunomys wardi"
"785","Mus daccaensis"
"786","Mus barclayanus"
"787","Mus kok"
"788","Gunomys varillus"
"789","Gunomys sindicus"
"790","Mus plurimammis"
"791","Mus tarayensis"
"792","Gunomys lordi"
"793","Mus bandicota"
"794","Nesokia nemorivaga taiwanus"
"795","Rattus eloquens"
"796","Mus malabarica"
"797","Mus nemorivagus"
"798","Bandicota siamensis"
"799","Mus macropus"
"800","Mus giganteus"
"801","Bandicota jabouillei"
"802","Mus perchal"
"803","Bandicota mordax"
"804","Mus setifer"
"805","Mus elliotanus"
"806","Bandicota savilei curtata"
"807","Barbastella daubentoni"
"808","Barbastella communis"
"809","Barbastella sp. beijingensis"
"810","Barbastella leucomelas darjelingensis"
"811","Vespertilio leucomelas"
"812","Barbastella sp. KK-2018"
"813","Bassaricyon alleni alleni"
"814","Bassaricyon gabbii alleni"
"815","Bassaricyon medius siccatus"
"816","Bassaricyon beddardi"
"817","Bassariscus sonoitensis"
"818","Bassaris astuta"
"819","Bassaris sumichrasti"
"820","Bathyergus janetta plowesi"
"821","Bathyergus janetta inselbergensis"
"822","Mus maritimus"
"823","Mus suillus"
"824","Myotalpa maritima"
"825","Bathyergus suillus intermedius"
"826","Bathyergus africana"
"827","Bathyergus maritimus"
"828","? maritima"
"829","Crossarchus nigripes"
"830","? hunteri"
"831","Damaliscus hunteri"
"832","Berardius arnouxii"
"833","Berardius arnouxi"
"834","Berardius arnuxi"
"835","Berardius bairdi arnuxi"
"836","Berardius vegana"
"837","Berardius vegae"
"838","Berardius vegaae"
"839","Berardius bairdi"
"840","Berardius bairdi bairdi"
"841","Rattus (Berylmys) berdmorei"
"842","Rattus berdmorei"
"843","Epimys berdmorei mullulus"
"844","Epimys berdmorei magnus"
"845","Berylmys bowersii"
"846","Rattus bowersi"
"847","Rattus bowersi lactiventer"
"848","Rattus bowersii totipes"
"849","Rattus kennethi"
"850","Rattus wellsi"
"851","Mus latouchei"
"852","Mus ferreocanus"
"853","Rattus mackenziei fea"
"854","Bettongia lesueur anhydra"
"855","Bettongia penicillata anhydra"
"856","Bettongia leseuri"
"857","Hypsiprymnus lesueur"
"858","Bison texanus"
"859","Bison kansensis"
"860","Stelabison taylori"
"861","Bison oliverhayi"
"862","Bison figginsi"
"863","Bison taylori"
"864","Bos scaphoceras"
"865","Bison pacificus"
"866","Bison californicus"
"867","Bison occidentalis"
"868","Ovis scaphoceras"
"869","Stelabison occidentalis"
"870","Simobison figginsi"
"871","Bison antiquus taylori"
"872","Bos priscus"
"873","Bison geisti"
"874","Bison praeoccidentalis"
"875","Bison crassicornis"
"876","Bison preoccidentalis"
"877","Superbison crassicornis"
"878","Bison willistoni"
"879","Urus priscus"
"880","Microtus bucharicus"
"881","Blanfordimys bucharicus"
"882","Talposorex platyurus"
"883","Blarina kirtlandi"
"884","Blarina ozarkensis"
"885","Blarina simplicidens"
"886","Blarina fossilis"
"887","Sorex talpoides"
"888","Sorex brevicaudus"
"889","Blarina talpoides"
"890","Corsira talpoides"
"891","Blarina telmalestes"
"892","Sorex carolinensis"
"893","Sorex quadraticauda"
"894","Blastoceros dichotomus"
"895","Cervus dichotomus"
"896","? dichotomus"
"897","Necromys amoenus"
"898","? amoenus"
