"","species"
"159","Allactodipus bobrinskii"
"160","Allenopithecus nigroviridis"
"161","Allocebus trichotis"
"162","Allochrocebus lhoesti"
"163","Allochrocebus solatus"
"164","Allocricetulus curtatus"
"165","Allocricetulus eversmanni"
"166","Allocricetulus jezreelicus"
"167","Alopex praeglacialis"
"168","Alouatta arctoidea"
"169","Alouatta caraya"
"170","Alouatta discolor"
"171","Alouatta juara"
"172","Alouatta pigra"
"173","Alouatta sara"
"174","Alouatta stramineus"
"175","Alouatta ululata"
"176","Alouatta villosa"
"177","Alticola albicaudus"
"178","Alticola argentatus"
"179","Alticola barakshin"
"180","Alticola lemminus"
"181","Alticola montosa"
"182","Alticola olchonensis"
"183","Alticola roylei"
"184","Alticola stoliczkanus"
"185","Alticola stracheyi"
"186","Alticola tuvinicus"
"187","Amblonyx concolor"
"188","Amblysomus iris"
"189","Amblysomus marleyi"
"190","Amblysomus robustus"
"191","Amblysomus septentrionalis"
"192","Ametrida centurio"
"193","Ammodillus imbellis"
"194","Ammodorcas clarkei"
"195","Ammospermophilus harrisii"
"196","Ammospermophilus insularis"
"197","Ammospermophilus interpres"
"198","Ammospermophilus leucurus"
"199","Ammospermophilus nelsoni"
"200","Ammotragus europaeus"
"201","Ammotragus lervia"
"202","Amorphochilus schnablii"
"203","Amphechinus rusingensis"
"204","Amphinectomys savamis"
"205","Anathana ellioti"
"206","Anathana pallida"
"207","Anathana wroughtoni"
"208","Andalgalomys olrogi"
"209","Andalgalomys roigi"
"210","Andinomys edax"
"211","Anisomys imitator"
"212","Anomalurus beecrofti"
"213","Anomalurus derbianus"
"214","Anomalurus pelii"
"215","Anomalurus pusillus"
"216","Anonymomys mindorensis"
"217","Anotomys leander"
"218","Anoura aequatoris"
"219","Anoura cadenai"
"220","Anoura carishina"
"221","Anoura caudifer"
"222","Anoura cultrata"
"223","Anoura fistulata"
"224","Anoura geoffroyi"
"225","Anoura latidens"
"226","Anoura luismanueli"
"227","Anoura peruana"
"228","Anourosorex assamensis"
"229","Anourosorex schmidi"
"230","Anourosorex squamipes"
"231","Anourosorex yamashinai"
"232","Antechinomys laniger"
"233","Antechinus adustus"
"234","Antechinus agilis"
"235","Antechinus argentus"
"236","Antechinus arktos"
"237","Antechinus bellus"
"238","Antechinus fuliginosus"
"239","Antechinus godmani"
"240","Antechinus hageni"
"241","Antechinus leo"
"242","Antechinus minutissimus"
"243","Antechinus mysticus"
"244","Antechinus naso"
"245","Antechinus stuartii"
"246","Antechinus subtropicus"
"247","Antechinus swainsonii"
"248","Antechinus vandycki"
"249","Anthops ornatus"
"250","Antidorcas angolensis"
"251","Antidorcas boulei"
"252","Antidorcas gaudryi"
"253","Antidorcas marsupialis"
"254","Antillomys rayi"
"255","Antilocapra pacifica"
"256","Antilope burchelli"
"257","Antilope caerula"
"258","Antilope cervicapra"
"259","Antilope claudi"
"260","Antilope depressicornis"
"261","Antilope dichotoma"
"262","Antilope doria"
"263","Antilope equina"
"264","Antilope euryceros"
"265","Antilope lunata"
"266","Antilope mhorr"
"267","Antilope mytilopes"
"268","Antilope saltiana"
"269","Antilope subulata"
"270","Antilope triangularis"
"271","Antilope villosa"
"272","Antilope zebra"
"273","Antilope zebrata"
"274","Antrozous dubiaquercus"
"275","Antrozous pallidus"
"276","Aonyx capensis"
"277","Aonyx cinereus"
"278","Aotus boliviensis"
"279","Aotus brumbacki"
"280","Aotus griseimembra"
"281","Aotus jorgehernandezi"
"282","Aotus lemurinus"
"283","Aotus miconax"
"284","Aotus nancymaae"
"285","Aotus nigriceps"
"286","Aotus rufipes"
"287","Aotus trivirgatus"
"288","Aotus vociferans"
"289","Aotus zonalis"
"290","Apodemus alpicola"
"291","Apodemus argenteus"
"292","Apodemus atavus"
"293","Apodemus caesareanus"
"294","Apodemus chejuensis"
"295","Apodemus chevrieri"
"296","Apodemus ciscaucasicus"
"297","Apodemus epimelas"
"298","Apodemus flavicollis"
"299","Apodemus fulvipectus"
"300","Apodemus gurkha"
"301","Apodemus hermonensis"
"302","Apodemus hyrcanicus"
"303","Apodemus iconicus"
"304","Apodemus ilex"
"305","Apodemus latronum"
"306","Apodemus levantinus"
"307","Apodemus mystacinus"
"308","Apodemus nigrus"
"309","Apodemus pallipes"
"310","Apodemus ponticus"
"311","Apodemus rusiges"
"312","Apodemus semotus"
"313","Apodemus speciosus"
"314","Apodemus sylvaticus"
"315","Apodemus uralensis"
"316","Apodemus wardi"
"317","Apodemus witherbyi"
"318","Apomys abrae"
"319","Apomys aurorae"
"320","Apomys banahao"
"321","Apomys brownorum"
"322","Apomys camiguinensis"
"323","Apomys datae"
"324","Apomys gracilirostris"
"325","Apomys hylocoetes"
"326","Apomys insignis"
"327","Apomys iridensis"
"328","Apomys littoralis"
"329","Apomys lubangensis"
"330","Apomys magnus"
"331","Apomys microdon"
"332","Apomys minganensis"
"333","Apomys musculus"
"334","Apomys sacobianus"
"335","Apomys sierrae"
"336","Apomys zambalensis"
"337","Aproteles bulmerae"
"338","Arabitragus jayakari"
"339","Arborimus albipes"
"340","Arborimus longicaudus"
"341","Arborimus pomo"
"342","Archaebalaenoptera castriarquati"
"343","Archaeocyon falkenbachi"
"344","Archaeolemur edwardsi"
"345","Archaeolemur majori"
"346","Archaeotherium mortoni"
"347","Archboldomys luzonensis"
"348","Archboldomys maximus"
"349","Arctictis gairdneri"
"350","Arctictis whitei"
"351","Arctocebus aureus"
"352","Arctocebus calabarensis"
"353","Arctocephalus australis"
"354","Arctocephalus forsteri"
"355","Arctocephalus galapagoensis"
"356","Arctocephalus gazella"
"357","Arctocephalus philippii"
"358","Arctocephalus townsendi"
"359","Arctocephalus tropicalis"
"360","Arctogalidia millsi"
"361","Arctogalidia trivirgata"
"362","Arctonyx collaris"
"363","Ardops nichollsi"
"364","Arielulus aureocollaris"
"365","Arielulus circumdatus"
"366","Arielulus cuprosus"
"367","Arielulus societatis"
"368","Arielulus torquatus"
"369","Ariteus flavescens"
"370","Artibeus amplus"
"371","Artibeus anderseni"
"372","Artibeus anthonyi"
"373","Artibeus aztecus"
"374","Artibeus cinereus"
"375","Artibeus concolor"
"376","Artibeus fimbriatus"
"377","Artibeus fraterculus"
"378","Artibeus grandis"
"379","Artibeus hartii"
"380","Artibeus hirsutus"
"381","Artibeus inopinatus"
"382","Artibeus intermedius"
"383","Artibeus lituratus"
"384","Artibeus macleayii"
"385","Artibeus obscurus"
"386","Artibeus phaeotis"
"387","Artibeus schwartzi"
"388","Artibeus toltecus"
"389","Artiocetus clavis"
"390","Arvicanthis abyssinicus"
"391","Arvicanthis ansorgei"
"392","Arvicanthis blicki"
"393","Arvicanthis dembeensis"
"394","Arvicanthis ectos"
"395","Arvicanthis nairobae"
"396","Arvicanthis neumanni"
"397","Arvicanthis niloticus"
"398","Arvicanthis nubilans"
"399","Arvicanthis rufinus"
"400","Arvicanthis rumruti"
"401","Arvicanthis somalicus"
"402","Arvicanthis testicularis"
"403","Arvicola amphibius"
"404","Arvicola cantiana"
"405","Arvicola mosbachensis"
"406","Arvicola sapidus"
"407","Arvicola scherman"
"408","Asellia arabica"
"409","Asellia italosomalica"
"410","Asellia patrizii"
"411","Asellia tridens"
"412","Aselliscus dongbacana"
"413","Aselliscus stoliczkanus"
"414","Aselliscus tricuspidatus"
"415","Atalapha pallescens"
"416","Atelerix albiventris"
"417","Atelerix algirus"
"418","Atelerix frontalis"
"419","Atelerix kilimanus"
"420","Atelerix pruneri"
"421","Atelerix sclateri"
"422","Atelerix spinifex"
"423","Ateles marginatus"
"424","Ateles paniscus"
"425","Atelocynus microtis"
"426","Atherurus africanus"
"427","Atherurus macrourus"
"428","Atilax paludinosus"
"429","Atlantoxerus getulus"
"430","Auliscomys boliviensis"
"431","Auliscomys micropus"
"432","Auliscomys pictus"
"433","Auliscomys sublimis"
"434","Australopithecus ramidus"
"435","Avahi betsileo"
"436","Avahi cleesei"
"437","Avahi laniger"
"438","Avahi meridionalis"
"439","Avahi mooreorum"
"440","Avahi occidentalis"
"441","Avahi peyrierasi"
"442","Avahi ramanantsoavani"
"443","Avahi unicolor"
"444","Axis axis"
"445","Axis calamianensis"
"446","Axis kuhlii"
"447","Babyrousa babyrussa"
"448","Babyrousa bolabatuensis"
"449","Babyrousa celebensis"
"450","Babyrousa togeanensis"
"451","Baiomys musculus"
"452","Baiomys taylori"
"453","Baiyankamys habbema"
"454","Baiyankamys shawmayeri"
"455","Balaena montalionis"
"456","Balaena mysticetus"
"457","Balaena ricei"
"458","Balaenella brachyrhynus"
"459","Balaenoptera bairdii"
"460","Balaenoptera bertae"
"461","Balaenoptera bertai"
"462","Balaenoptera bonaerensis"
"463","Balaenoptera borealis"
"464","Balaenoptera brydei"
"465","Balaenoptera edeni"
"466","Balaenoptera musculus"
"467","Balaenoptera omurai"
"468","Balaenoptera physalus"
"469","Balaenoptera siberi"
"470","Balaenula astensis"
"471","Balantiopteryx infusca"
"472","Balantiopteryx io"
"473","Balantiopteryx plicata"
"474","Balionycteris maculata"
"475","Balionycteris maculator"
"476","Bandicota bengalensis"
"477","Bandicota bengalis"
"478","Bandicota indica"
"479","Bandicota savilei"
"480","Barbastella barbastellus"
"481","Barbastella beijingensis"
"482","Barbastella caspica"
"483","Barbastella darjelingensis"
"484","Barbastella leucomelas"
"485","Barbastella pacifica"
"486","Bassaricyon alleni"
"487","Bassaricyon beddardi"
"488","Bassariscus astutus"
"489","Bassariscus sumichrasti"
"490","Bathyergus janetta"
"491","Bathyergus suillus"
"492","Batomys dentatus"
"493","Batomys granti"
"494","Batomys hamiguitan"
"495","Batomys russatus"
"496","Batomys salomonseni"
"497","Batomys uragon"
"498","Bdeogale jacksoni"
"499","Bdeogale nigripes"
"500","Bdeogale tenuis"
"501","Beamys hindei"
"502","Beamys major"
"503","Beatragus antiquus"
"504","Beatragus hunteri"
"505","Belomys pearsonii"
"506","Berardius arnuxii"
"507","Berardius bairdii"
"508","Berardius minimus"
"509","Berylmys berdmorei"
"510","Berylmys bowersi"
"511","Berylmys mackenziei"
"512","Berylmys manipulus"
"513","Bettongia anhydra"
"514","Bettongia gaimardi"
"515","Bettongia gouldii"
"516","Bettongia lesueur"
"517","Bettongia tropica"
"518","Bibimys chacoensis"
"519","Bibimys labiosus"
"520","Bibimys torresi"
"521","Bison antiquus"
"522","Bison priscus"
"523","Bison schoetensacki"
"524","Biswamoyopterus biswasi"
"525","Biswamoyopterus laoensis"
"526","Blanfordimys afghanus"
"527","Blanfordimys bucharensis"
"528","Blarina brevicauda"
"529","Blarina carolinensis"
"530","Blarina hylophaga"
"531","Blarina peninsulae"
"532","Blarinella griselda"
"533","Blarinella quadraticauda"
"534","Blarinella wardi"
"535","Blarinomys breviceps"
"536","Blastocerus dichotomus"
"537","Blastocerus sylvestris"
"538","Bolomys amoenus"
"539","Bolomys lasiurus"
"540","Bolomys temchuki"
"541","Bolomys urichi"
"542","Boneia bidens"
"543","Boromys offella"
"544","Boromys torrei"
"545","Borophagus diversidens"
"546","Borophagus littoralis"
"547","Borophagus parvus"
"548","Borophagus secundus"
"549","Bos bubalus"
"550","Boselaphus derbianus"
"551","Boselaphus tragocamelus"
"552","Bos grunniens"
"553","Bos mutus"
"554","Bos nanus"
"555","Bos primigenius"
"556","Bos pumilis"
"557","Bos sauveli"
"558","Bos taurus"
"559","Brachiones przewalskii"
"560","Brachylagus idahoensis"
"561","Brachyphylla cavernarum"
"562","Brachyrhynchocyon sesnoni"
"563","Brachytarsomys albicauda"
"564","Brachytarsomys villosa"
"565","Brachyteles arachnoides"
"566","Brachyteles hypoxanthus"
"567","Brachyuromys betsileoensis"
"568","Brachyuromys ramirohitra"
"569","Bradypus pygmaeus"
"570","Bradypus torquatus"
"571","Bradypus tridactylus"
"572","Bramapithecus thorpei"
"573","Brandtocetus chongulek"
"574","Brassomys albidens"
"575","Brotomys contractus"
"576","Brotomys voratus"
"577","Brucepattersonius griserufescens"
"578","Brucepattersonius guarani"
"579","Brucepattersonius igniventris"
"580","Brucepattersonius iheringi"
"581","Brucepattersonius misionensis"
"582","Brucepattersonius paradisus"
"583","Brucepattersonius soricinus"
"584","Bubalus andersoni"
"585","Bubalus brachyceros"
"586","Bubalus carabanensis"
"587","Bubalus centralis"
"588","Bubalus depressicornis"
"589","Bubalus mephistopheles"
"590","Bubalus mindorensis"
"591","Bubalus nilssoni"
"592","Bubalus planiceros"
"593","Bubalus quarlesi"
"594","Budorcas bedfordi"
"595","Bullimus bagobus"
"596","Bullimus gamay"
"597","Bullimus luzonicus"
"598","Bunolagus monticularis"
"599","Bunomys andrewsi"
"600","Bunomys chrysocomus"
"601","Bunomys chrysocomys"
"602","Bunomys coelestis"
"603","Bunomys fratrorum"
"604","Bunomys karokophilus"
"605","Bunomys penitus"
"606","Bunomys prolatus"
"607","Bunomys torajae"
"608","Burramys parvus"
"609","Cabassous centralis"
"610","Cabassous chacoensis"
"611","Cabassous tatouay"
"612","Cabassous unicinctus"
"613","Cacajao ayresi"
"614","Cacajao hosomi"
"615","Cacajao melanocephalus"
"616","Cacajao rubicundus"
"617","Caedocyon tedfordi"
"618","Caenolestes caniventer"
"619","Caenolestes condorensis"
"620","Caenolestes convelatus"
"621","Caenolestes fuliginosus"
"622","Caenolestes sangay"
"623","Calassomys apicalis"
"624","Calcochloris tytonis"
"625","Callicebus barbarabrownae"
"626","Callicebus caquetensis"
"627","Callicebus castaneoventris"
"628","Callicebus coimbrai"
"629","Callicebus discolor"
"630","Callicebus dubius"
"631","Callicebus melanochir"
"632","Callicebus nigrifrons"
"633","Callicebus ornatus"
"634","Callimico goeldii"
"635","Callistomys pictus"
"636","Callithrix aurita"
"637","Callithrix flaviceps"
"638","Callithrix geoffroyi"
"639","Callithrix humeralifer"
"640","Callithrix humilis"
"641","Callithrix jacchus"
"642","Callithrix kuhlii"
"643","Callithrix pencillata"
"644","Callithrix penicillata"
"645","Callithrix pygmaea"
"646","Callorhinus ursinus"
"647","Callosciurus adamsi"
"648","Callosciurus baluensis"
"649","Callosciurus caniceps"
"650","Callosciurus honkhoaiensis"
"651","Callosciurus inornatus"
"652","Callosciurus melanogaster"
"653","Callosciurus nigrovittatus"
"654","Callosciurus notatus"
"655","Callosciurus orestes"
"656","Callosciurus phayrei"
"657","Callosciurus pygerythrus"
"658","Callosciurus quinquestriatus"
"659","Callospermophilus madrensis"
"660","Callospermophilus saturatus"
"661","Calomys boliviae"
"662","Calomys callidus"
"663","Calomys callosus"
"664","Calomys cerqueirai"
"665","Calomyscus bailwardi"
"666","Calomyscus baluchi"
"667","Calomyscus elburzensis"
"668","Calomyscus grandis"
"669","Calomyscus hotsoni"
"670","Calomyscus mystax"
"671","Calomyscus tsolovi"
"672","Calomyscus urartensis"
"673","Calomys expulsus"
"674","Calomys fecundus"
"675","Calomys hummelincki"
"676","Calomys laucha"
"677","Calomys lepidus"
"678","Calomys musculinus"
"679","Calomys sorellus"
"680","Calomys tener"
"681","Calomys tocantinsi"
"682","Calomys venustus"
"683","Caloprymnus campestris"
"684","Caluromys derbianus"
"685","Caluromysiops irrupta"
"686","Caluromys lanatus"
"687","Caluromys laniger"
"688","Caluromys philander"
"689","Caluromys trinitatis"
"690","Calyptophractus retusus"
"691","Camelus arctoamericanus"
"692","Camelus bactrianus"
"693","Camelus dromedarius"
"694","Camelus ferus"
"695","Camelus maximus"
"696","Camelus sivalensis"
"697","Canariomys tamarani"
"698","Canis adustus"
"699","Canis ameghinoi"
"700","Canis antarticus"
"701","Canis anthus"
"702","Canis argentinus"
"703","Canis armbrusteri"
"704","Canis aureus"
"705","Canis brachypus"
"706","Canis cautleyi"
"707","Canis cedazoensis"
"708","Canis chanco"
"709","Canis chrysurus"
"710","Canis curvipalatus"
"711","Canis davisi"
"712","Canis dingo"
"713","Canis dirus"
"714","Canis dukhunensis"
"715","Canis edwardii"
"716","Canis etruscus"
"717","Canis ferox"
"718","Canis gezi"
"719","Canis gregarius"
"720","Canis haydeni"
"721","Canis himalaicus"
"722","Canis himalayensis"
"723","Canis indica"
"724","Canis kokree"
"725","Canis lanka"
"726","Canis lateralis"
"727","Canis latrans"
"728","Canis lemur"
"729","Canis lepophagus"
"730","Canis naria"
"731","Canis nehringi"
"732","Canis pallipes"
"733","Canis palustris"
"734","Canis peruanus"
"735","Canis primaevus"
"736","Canis rufus"
"737","Canis saevus"
"738","Canis simensis"
"739","Canis sladeni"
"740","Canis tarijensis"
"741","Canis temerarius"
"742","Canis ursinus"
"743","Canis vafer"
"744","Cannomys badius"
"745","Cansumys canus"
"746","Caperea marginata"
"747","Capra caucasica"
"748","Capra cylindricornis"
"749","Capra nubiana"
"750","Capra walie"
"751","Capra warryato"
"752","Capreolus bedfordi"
"753","Capreolus coxi"
"754","Capreolus sussenbornensis"
"755","Capricornis crispus"
"756","Capricornis osborni"
"757","Capricornis pryerianus"
"758","Capricornis rubidus"
"759","Capricornis sumatraensis"
"760","Capricornis swinhoei"
"761","Caprolagus hispidus"
"762","Capromys gundlachianus"
"763","Capromys ingrahami"
"764","Capromys pilorides"
"765","Caracal caracal"
"766","Cardiocranius paradoxus"
"767","Cardioderma cor"
"768","Carlito syrichta"
"769","Carollia benkeithi"
"770","Carollia brevicauda"
"771","Carollia castanea"
"772","Carollia manu"
"773","Carollia monohernandezi"
"774","Carollia perspicillata"
"775","Carollia sowelli"
"776","Carollia subrufa"
"777","Carollia verrucata"
"778","Carpitalpa arendsi"
"779","Carpocyon webbi"
"780","Carpomys melanurus"
"781","Carpomys phaeurus"
"782","Carterodon sulcidens"
"783","Casinycteris argynnis"
"784","Casinycteris campomaanensis"
"785","Cassistrellus dimissus"
"786","Cassistrellus yokdonensis"
"787","Castor canadensis"
"788","Castoria angustidens"
"789","Catagonus wagneri"
"790","Catopithecus browni"
"791","Catopuma badia"
"792","Catopuma temminckii"
"793","Cavia cutleri"
"794","Cavia fulgida"
"795","Cavia intermedia"
"796","Cavia magna"
"797","Cavia patzelti"
"798","Cavia porcellus"
"799","Cebuella niveiventris"
"800","Cebus abifrons"
"801","Cebus aequatorialis"
"802","Cebus albifrons"
"803","Cebus brunneus"
"804","Cebus cesarae"
"805","Cebus cuscinus"
"806","Cebus fatuellus"
"807","Cebus imitator"
"808","Cebus kaapori"
"809","Cebus leucocephalus"
"810","Cebus malitiosus"
"811","Cebus pallidus"
"812","Cebus unicolor"
"813","Cebus versicolor"
"814","Cebus yuracus"
"815","Centronycteris centralis"
"816","Centronycteris maximiliani"
"817","Centurio flavogularis"
"818","Cephalophus abyssinicus"
"819","Cephalophus adersi"
"820","Cephalophus aureus"
"821","Cephalophus badius"
"822","Cephalophus barbertoni"
"823","Cephalophus bicolor"
"824","Cephalophus breviceps"
"825","Cephalophus brookei"
"826","Cephalophus callipygus"
"827","Cephalophus campbelliae"
"828","Cephalophus danei"
"829","Cephalophus dorsalis"
"830","Cephalophus fosteri"
"831","Cephalophus harveyi"
"832","Cephalophus hooki"
"833","Cephalophus ignifer"
"834","Cephalophus jentinki"
"835","Cephalophus johnstoni"
"836","Cephalophus leucogaster"
"837","Cephalophus longiceps"
"838","Cephalophus lowei"
"839","Cephalophus lugens"
"840","Cephalophus melanoprymnus"
"841","Cephalophus melanorheus"
"842","Cephalophus natalensis"
"843","Cephalophus niger"
"844","Cephalophus nigrifrons"
"845","Cephalophus nyasae"
"846","Cephalophus ogilbyi"
"847","Cephalophus punctulatus"
"848","Cephalophus rubidus"
"849","Cephalophus rufilatus"
"850","Cephalophus silvicultor"
"851","Cephalophus simpsoni"
"852","Cephalophus spadix"
"853","Cephalophus walkeri"
"854","Cephalophus weynsi"
"855","Cephalophus whitfieldi"
"856","Cephalophus zebra"
"857","Cephalorhynchus commersonii"
"858","Cephalorhynchus eutropia"
"859","Cephalorhynchus heavisidii"
"860","Cephalotropis coronatus"
"861","Ceratotherium neumayri"
"862","Cercartetus concinnus"
"863","Cercartetus lepidus"
"864","Cercartetus nanus"
"865","Cercocebus agilis"
"866","Cercocebus chrysogaster"
"867","Cercocebus galeritus"
"868","Cercocebus sanjei"
"869","Cercopithecus buettikoferi"
"870","Cercopithecus denti"
"871","Cercopithecus diana"
"872","Cercopithecus doggetti"
"873","Cercopithecus dryas"
"874","Cercopithecus grayi"
"875","Cercopithecus insolitus"
"876","Cercopithecus kandti"
"877","Cercopithecus leucampyx"
"878","Cercopithecus lomamiensis"
"879","Cercopithecus lowei"
"880","Cercopithecus ludio"
"881","Cercopithecus martini"
"882","Cercopithecus neglectus"
"883","Cercopithecus nicticans"
"884","Cercopithecus nigripes"
"885","Cercopithecus opisthostictus"
"886","Cercopithecus roloway"
"887","Cercopithecus sclateri"
"888","Cerdocyon ensenadensis"
"889","Cerdocyon thous"
"890","Cerradomys akroai"
"891","Cerradomys goytaca"
"892","Cerradomys langguthi"
"893","Cerradomys maracajuensis"
"894","Cerradomys marinhus"
"895","Cerradomys scotti"
"896","Cerradomys subflavus"
"897","Cerradomys vivoi"
"898","Cervus affinis"
"899","Cervus albicornis"
"900","Cervus bactrianus"
"901","Cervus bedfordianus"
"902","Cervus browni"
"903","Cervus cashmeerianus"
"904","Cervus cashmerensis"
"905","Cervus cashmirianus"
"906","Cervus casperianus"
"907","Cervus dimorphe"
"908","Cervus dybowskii"
"909","Cervus elaphoides"
"910","Cervus euopis"
"911","Cervus eustephanus"
"912","Cervus gouazoupira"
"913","Cervus heterocerus"
"914","Cervus macneilli"
"915","Cervus mandarinus"
"916","Cervus megaceros"
"917","Cervus mexicanus"
"918","Cervus muntjak"
"919","Cervus peruvianus"
"920","Cervus savini"
"921","Cervus spatulatus"
"922","Cervus tavistocki"
"923","Cervus thoroldi"
"924","Cervus tibetanus"
"925","Cervus timoriensis"
"926","Cetotherium gastaldii"
"927","Cetotherium moreni"
"928","Cetotherium rathkii"
"929","Cetotherium riabinini"
"930","Chacodelphys formosa"
"931","Chaerephon aloysiisabaudiae"
"932","Chaerephon ansorgei"
"933","Chaerephon atsinanana"
"934","Chaerephon bemmeleni"
"935","Chaerephon bivittatus"
"936","Chaerephon bregullae"
"937","Chaerephon chapini"
"938","Chaerephon gallagheri"
"939","Chaerephon jobensis"
"940","Chaerephon jobimena"
"941","Chaerephon johorensis"
"942","Chaerephon leucogaster"
"943","Chaerephon major"
"944","Chaerephon nigeriae"
"945","Chaerephon plicatus"
"946","Chaerephon pusillus"
"947","Chaerephon russatus"
"948","Chaerephon shortridgei"
"949","Chaerephon solomonis"
"950","Chaerephon tomensis"
"951","Chaeropus yirratji"
"952","Chaetocauda sichuanensis"
"953","Chaetodipus artus"
"954","Chaetodipus baileyi"
"955","Chaetodipus californicus"
"956","Chaetodipus dalquesti"
"957","Chaetodipus eremicus"
"958","Chaetodipus formosus"
"959","Chaetodipus goldmani"
"960","Chaetodipus hispidus"
"961","Chaetodipus intermedius"
"962","Chaetodipus lineatus"
"963","Chaetodipus nelsoni"
"964","Chaetodipus penicillatus"
"965","Chaetodipus pernix"
"966","Chaetodipus rudinoris"
"967","Chaetodipus spinatus"
"968","Chaetomys subspinosus"
"969","Chaetophractus nationi"
"970","Chaetophractus vellerosus"
"971","Chaetophractus villosus"
"972","Chalinolobus dwyeri"
"973","Chalinolobus gouldii"
"974","Chalinolobus morio"
"975","Chalinolobus neocaledonicus"
"976","Chalinolobus nigrogriseus"
"977","Chalinolobus picatus"
