"","scientificName","redlistCategory"
"259","Apodemus flavicollis","Least Concern"
"260","Apodemus gurkha","Least Concern"
"261","Apodemus hyrcanicus","Near Threatened"
"262","Apodemus latronum","Least Concern"
"263","Apodemus mystacinus","Least Concern"
"264","Apodemus mystacinus","Least Concern"
"265","Apodemus mystacinus","Least Concern"
"266","Apodemus pallipes","Least Concern"
"267","Apodemus peninsulae","Least Concern"
"268","Apodemus ponticus","Least Concern"
"269","Apodemus rusiges","Least Concern"
"270","Apodemus semotus","Least Concern"
"271","Apodemus speciosus","Least Concern"
"272","Apodemus sylvaticus","Least Concern"
"273","Apodemus sylvaticus","Least Concern"
"274","Apodemus sylvaticus","Least Concern"
"275","Apodemus uralensis","Not Applicable"
"276","Apodemus uralensis","Least Concern"
"277","Apodemus uralensis","Least Concern"
"278","Apodemus witherbyi","Least Concern"
"279","Apodemus witherbyi","Not Applicable"
"280","Apodemus witherbyi","Least Concern"
"281","Apomys abrae","Least Concern"
"282","Apomys aurorae","Least Concern"
"283","Apomys banahao","Least Concern"
"284","Apomys brownorum","Data Deficient"
"285","Apomys camiguinensis","Vulnerable"
"286","Apomys datae","Least Concern"
"287","Apomys gracilirostris","Least Concern"
"288","Apomys hylocetes","Least Concern"
"289","Apomys insignis","Least Concern"
"290","Apomys iridensis","Least Concern"
"291","Apomys littoralis","Data Deficient"
"292","Apomys lubangensis","Least Concern"
"293","Apomys magnus","Least Concern"
"294","Apomys microdon","Least Concern"
"295","Apomys minganensis","Least Concern"
"296","Apomys musculus","Least Concern"
"297","Apomys sacobianus","Least Concern"
"298","Apomys sierrae","Least Concern"
"299","Apomys zambalensis","Least Concern"
"300","Aproteles bulmerae","Critically Endangered"
"301","Arabitragus jayakari","Endangered"
"302","Arborimus albipes","Least Concern"
"303","Arborimus longicaudus","Near Threatened"
"304","Arborimus pomo","Near Threatened"
"305","Archboldomys luzonensis","Vulnerable"
"306","Archboldomys maximus","Data Deficient"
"307","Arctictis binturong","Vulnerable"
"308","Arctocebus aureus","Least Concern"
"309","Arctocebus calabarensis","Near Threatened"
"310","Arctocephalus australis","Least Concern"
"311","Arctocephalus forsteri","Least Concern"
"312","Arctocephalus galapagoensis","Endangered"
"313","Arctocephalus gazella","Least Concern"
"314","Arctocephalus philippii","Least Concern"
"315","Arctocephalus pusillus","Least Concern"
"316","Arctocephalus townsendi","Least Concern"
"317","Arctocephalus tropicalis","Least Concern"
"318","Arctogalidia trivirgata","Least Concern"
"319","Arctonyx albogularis","Least Concern"
"320","Arctonyx collaris","Vulnerable"
"321","Arctonyx hoevenii","Least Concern"
"322","Ardops nichollsi","Least Concern"
"323","Arielulus circumdatus","Least Concern"
"324","Arielulus cuprosus","Vulnerable"
"325","Arielulus societatis","Least Concern"
"326","Arielulus torquatus","Least Concern"
"327","Ariteus flavescens","Least Concern"
"328","Artibeus aequatorialis","Least Concern"
"329","Artibeus amplus","Least Concern"
"330","Artibeus concolor","Least Concern"
"331","Artibeus fimbriatus","Least Concern"
"332","Artibeus fraterculus","Least Concern"
"333","Artibeus hirsutus","Least Concern"
"334","Artibeus inopinatus","Data Deficient"
"335","Artibeus jamaicensis","Least Concern"
"336","Artibeus lituratus","Least Concern"
"337","Artibeus obscurus","Least Concern"
"338","Artibeus planirostris","Least Concern"
"339","Artibeus schwartzi","Data Deficient"
"340","Arvicanthis abyssinicus","Least Concern"
"341","Arvicanthis ansorgei","Least Concern"
"342","Arvicanthis blicki","Near Threatened"
"343","Arvicanthis nairobae","Least Concern"
"344","Arvicanthis neumanni","Least Concern"
"345","Arvicanthis niloticus","Not Applicable"
"346","Arvicanthis niloticus","Least Concern"
"347","Arvicanthis rufinus","Least Concern"
"348","Arvicola amphibius","Least Concern"
"349","Arvicola amphibius","Least Concern"
"350","Arvicola amphibius","Least Concern"
"351","Arvicola sapidus","Vulnerable"
"352","Arvicola scherman","Least Concern"
"353","Arvicola scherman","Least Concern"
"354","Asellia arabica","Data Deficient"
"355","Asellia italosomalica","Data Deficient"
"356","Asellia patrizii","Least Concern"
"357","Asellia tridens","Least Concern"
"358","Aselliscus stoliczkanus","Least Concern"
"359","Aselliscus tricuspidatus","Least Concern"
"360","Atelerix albiventris","Least Concern"
"361","Atelerix algirus","Least Concern"
"362","Atelerix algirus","Least Concern"
"363","Atelerix frontalis","Least Concern"
"364","Atelerix sclateri","Least Concern"
"365","Ateles belzebuth","Endangered"
"366","Ateles chamek","Endangered"
"367","Ateles fusciceps","Endangered"
"368","Ateles geoffroyi","Endangered"
"369","Ateles hybridus","Critically Endangered"
"370","Ateles marginatus","Endangered"
"371","Ateles paniscus","Vulnerable"
"372","Atelocynus microtis","Near Threatened"
"373","Atherurus africanus","Least Concern"
"374","Atherurus macrourus","Least Concern"
"375","Atilax paludinosus","Least Concern"
"376","Atlantoxerus getulus","Least Concern"
"377","Atopogale cubana","Endangered"
"378","Auliscomys boliviensis","Least Concern"
"379","Auliscomys pictus","Least Concern"
"380","Auliscomys sublimis","Least Concern"
"381","Austronomus australis","Least Concern"
"382","Austronomus kuboriensis","Least Concern"
"383","Avahi betsileo","Endangered"
"384","Avahi cleesei","Critically Endangered"
"385","Avahi laniger","Vulnerable"
"386","Avahi meridionalis","Endangered"
"387","Avahi mooreorum","Endangered"
"388","Avahi occidentalis","Vulnerable"
"389","Avahi peyrierasi","Vulnerable"
"390","Avahi ramanantsoavanai","Vulnerable"
"391","Avahi unicolor","Critically Endangered"
"392","Axis axis","Least Concern"
"393","Axis calamianensis","Endangered"
"394","Axis kuhlii","Critically Endangered"
"395","Axis porcinus","Endangered"
"396","Babyrousa babyrussa","Vulnerable"
"397","Babyrousa celebensis","Vulnerable"
"398","Babyrousa togeanensis","Endangered"
"399","Baeodon alleni","Least Concern"
"400","Baeodon gracilis","Least Concern"
"401","Baiomys musculus","Least Concern"
"402","Baiomys taylori","Least Concern"
"403","Baiyankamys habbema","Data Deficient"
"404","Baiyankamys shawmayeri","Least Concern"
"405","Balaena mysticetus","Not Applicable"
"406","Balaena mysticetus","Least Concern"
"407","Balaenoptera acutorostrata","Least Concern"
"408","Balaenoptera acutorostrata","Least Concern"
"409","Balaenoptera bonaerensis","Near Threatened"
"410","Balaenoptera borealis","Endangered"
"411","Balaenoptera borealis","Endangered"
"412","Balaenoptera edeni","Least Concern"
"413","Balaenoptera musculus","Endangered"
"414","Balaenoptera musculus","Endangered"
"415","Balaenoptera omurai","Data Deficient"
"416","Balaenoptera physalus","Vulnerable"
"417","Balaenoptera physalus","Near Threatened"
"418","Balaenoptera physalus","Vulnerable"
"419","Balantiopteryx infusca","Vulnerable"
"420","Balantiopteryx io","Vulnerable"
"421","Balantiopteryx plicata","Least Concern"
"422","Balionycteris maculata","Least Concern"
"423","Bandicota bengalensis","Least Concern"
"424","Bandicota indica","Least Concern"
"425","Bandicota savilei","Least Concern"
"426","Barbastella barbastellus","Near Threatened"
"427","Barbastella barbastellus","Vulnerable"
"428","Barbastella barbastellus","Near Threatened"
"429","Barbastella leucomelas","Least Concern"
"430","Bassaricyon alleni","Least Concern"
"431","Bassaricyon gabbii","Least Concern"
"432","Bassaricyon medius","Least Concern"
"433","Bassaricyon neblina","Near Threatened"
"434","Bassariscus astutus","Least Concern"
"435","Bassariscus sumichrasti","Least Concern"
"436","Bathyergus janetta","Least Concern"
"437","Bathyergus suillus","Least Concern"
"438","Batomys dentatus","Data Deficient"
"439","Batomys granti","Least Concern"
"440","Batomys hamiguitan","Data Deficient"
"441","Batomys russatus","Endangered"
"442","Batomys salomonseni","Least Concern"
"443","Batomys uragon","Least Concern"
"444","Bauerus dubiaquercus","Near Threatened"
"445","Bdeogale crassicauda","Least Concern"
"446","Bdeogale jacksoni","Near Threatened"
"447","Bdeogale nigripes","Least Concern"
"448","Bdeogale omnivora","Vulnerable"
"449","Beamys hindei","Least Concern"
"450","Beatragus hunteri","Critically Endangered"
"451","Belomys pearsonii","Data Deficient"
"452","Berardius arnuxii","Least Concern"
"453","Berardius bairdii","Least Concern"
"454","Berardius minimus","Near Threatened"
"455","Berylmys berdmorei","Least Concern"
"456","Berylmys bowersi","Least Concern"
"457","Berylmys mackenziei","Data Deficient"
"458","Berylmys manipulus","Data Deficient"
"459","Bettongia anhydra","Extinct"
"460","Bettongia gaimardi","Near Threatened"
"461","Bettongia lesueur","Near Threatened"
"462","Bettongia penicillata","Critically Endangered"
"463","Bettongia pusilla","Extinct"
"464","Bettongia tropica","Endangered"
"465","Bibimys chacoensis","Least Concern"
"466","Bibimys labiosus","Least Concern"
"467","Bibimys torresi","Vulnerable"
"468","Bison bison","Near Threatened"
"469","Bison bonasus","Vulnerable"
"470","Bison bonasus","Near Threatened"
"471","Biswamoyopterus biswasi","Critically Endangered"
"472","Biswamoyopterus laoensis","Data Deficient"
"473","Blanfordimys afghanus","Least Concern"
"474","Blanfordimys bucharensis","Least Concern"
"475","Blarina brevicauda","Least Concern"
"476","Blarina carolinensis","Least Concern"
"477","Blarina hylophaga","Least Concern"
"478","Blarinella griselda","Least Concern"
"479","Blarinella quadraticauda","Near Threatened"
"480","Blarinella wardi","Least Concern"
"481","Blarinomys breviceps","Least Concern"
"482","Blastocerus dichotomus","Vulnerable"
"483","Boneia bidens","Vulnerable"
"484","Boromys offella","Extinct"
"485","Boromys torrei","Extinct"
"486","Boselaphus tragocamelus","Least Concern"
"487","Bos gaurus","Vulnerable"
"488","Bos javanicus","Endangered"
"489","Bos mutus","Vulnerable"
"490","Bos primigenius","Extinct"
"491","Bos primigenius","Extinct"
"492","Bos sauveli","Critically Endangered"
"493","Brachiones przewalskii","Least Concern"
"494","Brachylagus idahoensis","Least Concern"
"495","Brachyphylla cavernarum","Least Concern"
"496","Brachyphylla nana","Least Concern"
"497","Brachytarsomys albicauda","Least Concern"
"498","Brachytarsomys villosa","Vulnerable"
"499","Brachyteles arachnoides","Critically Endangered"
"500","Brachyteles hypoxanthus","Critically Endangered"
"501","Brachyuromys betsileoensis","Least Concern"
"502","Brachyuromys ramirohitra","Least Concern"
"503","Bradypus pygmaeus","Critically Endangered"
"504","Bradypus torquatus","Vulnerable"
"505","Bradypus tridactylus","Least Concern"
"506","Bradypus variegatus","Least Concern"
"507","Brassomys albidens","Data Deficient"
"508","Brotomys voratus","Extinct"
"509","Brucepattersonius griserufescens","Data Deficient"
"510","Brucepattersonius guarani","Data Deficient"
"511","Brucepattersonius igniventris","Data Deficient"
"512","Brucepattersonius iheringi","Least Concern"
"513","Brucepattersonius misionensis","Data Deficient"
"514","Brucepattersonius paradisus","Data Deficient"
"515","Brucepattersonius soricinus","Data Deficient"
"516","Bubalus arnee","Endangered"
"517","Bubalus depressicornis","Endangered"
"518","Bubalus mindorensis","Critically Endangered"
"519","Bubalus quarlesi","Endangered"
"520","Budorcas taxicolor","Vulnerable"
"521","Bullimus bagobus","Least Concern"
"522","Bullimus gamay","Vulnerable"
"523","Bullimus luzonicus","Least Concern"
"524","Bunolagus monticularis","Critically Endangered"
"525","Bunomys andrewsi","Least Concern"
"526","Bunomys chrysocomus","Least Concern"
"527","Bunomys coelestis","Endangered"
"528","Bunomys fratrorum","Vulnerable"
"529","Bunomys karokophilus","Data Deficient"
"530","Bunomys penitus","Least Concern"
"531","Bunomys prolatus","Endangered"
"532","Bunomys torajae","Data Deficient"
"533","Burramys parvus","Critically Endangered"
"534","Cabassous centralis","Data Deficient"
"535","Cabassous chacoensis","Near Threatened"
"536","Cabassous tatouay","Least Concern"
"537","Cabassous unicinctus","Least Concern"
"538","Cacajao ayresi","Least Concern"
"539","Cacajao calvus","Vulnerable"
"540","Cacajao hosomi","Vulnerable"
"541","Cacajao melanocephalus","Least Concern"
"542","Caenolestes caniventer","Near Threatened"
"543","Caenolestes condorensis","Vulnerable"
"544","Caenolestes convelatus","Vulnerable"
"545","Caenolestes fuliginosus","Least Concern"
"546","Caenolestes sangay","Vulnerable"
"547","Calcochloris obtusirostris","Least Concern"
"548","Calcochloris tytonis","Data Deficient"
"549","Callibella humilis","Least Concern"
"550","Callicebus barbarabrownae","Critically Endangered"
"551","Callicebus coimbrai","Endangered"
"552","Callicebus melanochir","Vulnerable"
"553","Callicebus nigrifrons","Near Threatened"
"554","Callicebus personatus","Vulnerable"
"555","Callimico goeldii","Vulnerable"
"556","Callistomys pictus","Endangered"
"557","Callithrix aurita","Endangered"
"558","Callithrix flaviceps","Critically Endangered"
"559","Callithrix geoffroyi","Least Concern"
"560","Callithrix jacchus","Least Concern"
"561","Callithrix kuhlii","Vulnerable"
"562","Callithrix penicillata","Least Concern"
"563","Callorhinus ursinus","Vulnerable"
"564","Callosciurus adamsi","Near Threatened"
"565","Callosciurus albescens","Data Deficient"
"566","Callosciurus baluensis","Least Concern"
"567","Callosciurus caniceps","Least Concern"
"568","Callosciurus erythraeus","Least Concern"
"569","Callosciurus finlaysonii","Least Concern"
"570","Callosciurus inornatus","Least Concern"
"571","Callosciurus melanogaster","Vulnerable"
"572","Callosciurus nigrovittatus","Least Concern"
"573","Callosciurus notatus","Least Concern"
"574","Callosciurus orestes","Least Concern"
"575","Callosciurus phayrei","Least Concern"
"576","Callosciurus prevostii","Least Concern"
"577","Callosciurus pygerythrus","Least Concern"
"578","Callosciurus quinquestriatus","Least Concern"
"579","Callospermophilus lateralis","Least Concern"
"580","Callospermophilus madrensis","Near Threatened"
"581","Callospermophilus saturatus","Least Concern"
"582","Calomys boliviae","Least Concern"
"583","Calomys callidus","Least Concern"
"584","Calomys callosus","Least Concern"
"585","Calomyscus bailwardi","Data Deficient"
"586","Calomyscus bailwardi","Least Concern"
"587","Calomyscus baluchi","Least Concern"
"588","Calomyscus elburzensis","Least Concern"
"589","Calomyscus grandis","Data Deficient"
"590","Calomyscus hotsoni","Least Concern"
"591","Calomyscus mystax","Least Concern"
"592","Calomyscus tsolovi","Data Deficient"
"593","Calomyscus urartensis","Least Concern"
"594","Calomys expulsus","Least Concern"
"595","Calomys fecundus","Least Concern"
"596","Calomys hummelincki","Least Concern"
"597","Calomys laucha","Least Concern"
"598","Calomys lepidus","Least Concern"
"599","Calomys musculinus","Least Concern"
"600","Calomys sorellus","Least Concern"
"601","Calomys tener","Least Concern"
"602","Calomys tocantinsi","Least Concern"
"603","Calomys venustus","Least Concern"
"604","Caloprymnus campestris","Extinct"
"605","Caluromys derbianus","Least Concern"
"606","Caluromysiops irrupta","Least Concern"
"607","Caluromys lanatus","Least Concern"
"608","Caluromys philander","Least Concern"
"609","Calyptophractus retusus","Data Deficient"
"610","Camelus ferus","Critically Endangered"
"611","Canis adustus","Least Concern"
"612","Canis aureus","Least Concern"
"613","Canis aureus","Least Concern"
"614","Canis latrans","Least Concern"
"615","Canis lupaster","Least Concern"
"616","Canis lupus","Least Concern"
"617","Canis lupus","Least Concern"
"618","Canis lupus","Least Concern"
"619","Canis mesomelas","Least Concern"
"620","Canis rufus","Critically Endangered"
"621","Canis simensis","Endangered"
"622","Cannomys badius","Least Concern"
"623","Cansumys canus","Least Concern"
"624","Caperea marginata","Least Concern"
"625","Capra aegagrus","Vulnerable"
"626","Capra aegagrus","Near Threatened"
"627","Capra caucasica","Endangered"
"628","Capra cylindricornis","Near Threatened"
"629","Capra falconeri","Near Threatened"
"630","Capra hircus","Not Applicable"
"631","Capra ibex","Least Concern"
"632","Capra ibex","Least Concern"
"633","Capra nubiana","Vulnerable"
"634","Capra nubiana","Vulnerable"
"635","Capra pyrenaica","Least Concern"
"636","Capra sibirica","Near Threatened"
"637","Capra walie","Vulnerable"
"638","Capreolus capreolus","Least Concern"
"639","Capreolus capreolus","Least Concern"
"640","Capreolus capreolus","Least Concern"
"641","Capreolus pygargus","Least Concern"
"642","Capreolus pygargus","Least Concern"
"643","Capricornis crispus","Least Concern"
"644","Capricornis rubidus","Near Threatened"
"645","Capricornis sumatraensis","Vulnerable"
"646","Capricornis swinhoei","Least Concern"
"647","Caprolagus hispidus","Endangered"
"648","Capromys pilorides","Least Concern"
"649","Caracal aurata","Vulnerable"
"650","Caracal caracal","Near Threatened"
"651","Caracal caracal","Least Concern"
"652","Cardiocranius paradoxus","Data Deficient"
"653","Cardioderma cor","Least Concern"
"654","Carlito syrichta","Near Threatened"
"655","Carollia benkeithi","Least Concern"
"656","Carollia brevicauda","Least Concern"
"657","Carollia castanea","Least Concern"
"658","Carollia manu","Least Concern"
"659","Carollia monohernandezi","Data Deficient"
"660","Carollia perspicillata","Least Concern"
"661","Carollia sowelli","Least Concern"
"662","Carollia subrufa","Least Concern"
"663","Carpitalpa arendsi","Vulnerable"
"664","Carpomys melanurus","Data Deficient"
"665","Carpomys phaeurus","Least Concern"
"666","Carterodon sulcidens","Data Deficient"
"667","Caryomys eva","Least Concern"
"668","Caryomys inez","Least Concern"
"669","Casinycteris argynnis","Least Concern"
"670","Casinycteris campomaanensis","Data Deficient"
"671","Castor canadensis","Least Concern"
"672","Castor fiber","Least Concern"
"673","Castor fiber","Least Concern"
"674","Castor fiber","Least Concern"
"675","Catagonus wagneri","Endangered"
"676","Catopuma badia","Endangered"
"677","Catopuma temminckii","Near Threatened"
"678","Cavia aperea","Least Concern"
"679","Cavia fulgida","Least Concern"
"680","Cavia intermedia","Critically Endangered"
"681","Cavia magna","Least Concern"
"682","Cavia patzelti","Data Deficient"
"683","Cavia tschudii","Least Concern"
"684","Cebuella niveiventris","Vulnerable"
